season,club,foreigners,squad_total_val,player_mean_value
17/18,SM Caen,26.3,€60.10m,€1.82m
17/18,EA Guingamp,27.2,€51.90m,€1.73m
17/18,FC Metz,25.2,€51.20m,€1.16m
17/18,RC Strasbourg Alsace,26.8,€45.60m,€1.47m
17/18,ESTAC Troyes,26.5,€45.05m,€1.50m
24/25,Paris Saint-Germain,23.6,€1.14bn,€33.59m
24/25,AS Monaco,23.6,€411.15m,€11.11m
24/25,Olympique Marseille,24.9,€358.00m,€8.95m
24/25,LOSC Lille,25.4,€336.60m,€8.42m
24/25,Olympique Lyon,26.0,€309.85m,€8.37m
24/25,RC Strasbourg Alsace,22.2,€307.85m,€7.33m
24/25,Stade Rennais FC,25.2,€294.70m,€6.85m
24/25,OGC Nice,24.4,€227.05m,€5.54m
24/25,RC Lens,25.1,€221.45m,€5.15m
24/25,Stade Reims,24.0,€152.50m,€3.81m
24/25,FC Toulouse,24.4,€121.60m,€3.58m
24/25,FC Nantes,26.6,€114.65m,€3.37m
24/25,Stade Brestois 29,25.6,€110.65m,€2.99m
24/25,AJ Auxerre,24.7,€86.90m,€2.29m
24/25,AS Saint-Étienne,25.3,€81.60m,€2.09m
24/25,Le Havre AC,25.1,€70.55m,€1.68m
24/25,Montpellier HSC,25.2,€65.85m,€1.65m
24/25,Angers SCO,25.8,€51.65m,€1.36m
18/19,Paris Saint-Germain,25.4,€1.01bn,€25.90m
18/19,Olympique Lyon,24.2,€467.95m,€13.76m
18/19,AS Monaco,23.9,€385.83m,€6.77m
18/19,LOSC Lille,24.1,€267.55m,€8.36m
18/19,Olympique Marseille,26.7,€258.35m,€7.83m
18/19,OGC Nice,23.2,€183.20m,€4.82m
18/19,FC Girondins Bordeaux,24.4,€179.00m,€4.16m
18/19,Stade Rennais FC,24.2,€168.45m,€4.11m
18/19,AS Saint-Étienne,24.8,€131.25m,€3.13m
18/19,FC Nantes,25.3,€119.50m,€2.99m
18/19,FC Toulouse,24.6,€113.25m,€2.83m
18/19,Montpellier HSC,26.1,€109.85m,€3.43m
18/19,RC Strasbourg Alsace,25.7,€98.00m,€2.97m
18/19,Nîmes Olympique,25.5,€88.15m,€2.84m
18/19,Stade Reims,25.0,€86.95m,€2.35m
18/19,Angers SCO,26.9,€79.70m,€2.10m
18/19,EA Guingamp,25.7,€70.65m,€1.91m
18/19,Amiens SC,25.9,€70.50m,€1.96m
18/19,SM Caen,25.3,€67.55m,€1.73m
18/19,Dijon FCO,26.3,€65.80m,€2.06m
25/26,Paris Saint-Germain,23.7,€1.15bn,€47.81m
25/26,Olympique Marseille,26.9,€397.55m,€14.20m
25/26,AS Monaco,25.0,€348.30m,€12.44m
25/26,RC Strasbourg Alsace,22.6,€278.30m,€9.94m
25/26,LOSC Lille,26.4,€215.60m,€7.99m
25/26,Olympique Lyon,25.2,€180.75m,€6.69m
25/26,OGC Nice,25.8,€177.60m,€6.12m
25/26,Stade Rennais FC,25.7,€172.30m,€7.83m
25/26,Paris FC,28.7,€102.80m,€3.67m
25/26,RC Lens,25.6,€91.35m,€3.26m
25/26,FC Toulouse,23.7,€90.40m,€3.77m
25/26,Stade Brestois 29,24.9,€88.70m,€3.55m
25/26,FC Nantes,25.5,€83.60m,€3.22m
25/26,AJ Auxerre,23.4,€71.85m,€2.57m
25/26,FC Lorient,25.4,€65.95m,€2.54m
25/26,FC Metz,24.9,€51.55m,€1.84m
25/26,Le Havre AC,25.8,€46.25m,€1.78m
25/26,Angers SCO,25.3,€32.65m,€1.31m
20/21,Paris Saint-Germain,24.7,€805.00m,€19.63m
20/21,Olympique Lyon,24.7,€431.35m,€10.78m
20/21,AS Monaco,24.4,€370.35m,€11.22m
20/21,LOSC Lille,24.1,€323.20m,€10.10m
20/21,Stade Rennais FC,24.6,€297.50m,€8.04m
20/21,Olympique Marseille,25.5,€247.95m,€6.70m
20/21,OGC Nice,22.8,€236.10m,€5.76m
20/21,AS Saint-Étienne,24.1,€154.50m,€3.59m
20/21,Montpellier HSC,25.6,€113.85m,€3.35m
20/21,Angers SCO,26.2,€111.65m,€2.94m
20/21,RC Strasbourg Alsace,25.7,€109.65m,€3.23m
20/21,FC Girondins Bordeaux,26.0,€105.70m,€2.94m
20/21,Stade Reims,23.6,€105.18m,€3.09m
20/21,RC Lens,25.3,€104.30m,€2.90m
20/21,FC Metz,25.1,€103.50m,€2.96m
20/21,Stade Brestois 29,25.7,€103.23m,€3.23m
20/21,FC Nantes,25.9,€94.75m,€2.96m
20/21,FC Lorient,26.8,€72.88m,€2.14m
20/21,Dijon FCO,24.9,€65.63m,€1.77m
20/21,Nîmes Olympique,25.3,€60.40m,€1.68m
16/17,Paris Saint-Germain,25.0,€519.00m,€13.31m
16/17,AS Monaco,23.7,€309.55m,€6.59m
16/17,Olympique Lyon,24.1,€211.35m,€6.22m
16/17,OGC Nice,24.0,€132.80m,€3.41m
16/17,Olympique Marseille,26.2,€119.65m,€3.63m
16/17,FC Girondins Bordeaux,25.0,€88.90m,€2.47m
16/17,AS Saint-Étienne,24.5,€85.03m,€2.02m
16/17,LOSC Lille,25.1,€83.90m,€1.82m
16/17,Stade Rennais FC,25.5,€80.90m,€1.88m
16/17,FC Toulouse,24.3,€77.30m,€2.03m
16/17,FC Lorient,25.5,€61.10m,€1.49m
16/17,Montpellier HSC,26.0,€60.95m,€1.74m
16/17,FC Nantes,24.9,€50.90m,€1.70m
16/17,Angers SCO,26.7,€46.08m,€1.28m
16/17,EA Guingamp,26.7,€42.50m,€1.21m
16/17,FC Metz,25.0,€37.55m,€963k
16/17,SM Caen,26.6,€36.65m,€1.02m
16/17,SC Bastia,25.6,€36.45m,€985k
16/17,AS Nancy-Lorraine,26.7,€33.10m,€1.10m
16/17,Dijon FCO,26.8,€31.20m,€945k
19/20,Paris Saint-Germain,25.8,€874.15m,€24.98m
19/20,Olympique Lyon,24.5,€384.55m,€11.65m
19/20,AS Monaco,25.7,€331.03m,€8.49m
19/20,LOSC Lille,24.2,€247.78m,€7.99m
19/20,Olympique Marseille,24.8,€216.15m,€6.36m
19/20,OGC Nice,23.5,€173.45m,€4.69m
19/20,Stade Rennais FC,25.5,€171.88m,€5.21m
19/20,FC Girondins Bordeaux,25.6,€125.35m,€4.04m
19/20,FC Nantes,25.5,€106.15m,€3.03m
19/20,AS Saint-Étienne,25.2,€104.83m,€2.56m
19/20,RC Strasbourg Alsace,26.1,€91.13m,€2.94m
19/20,Angers SCO,26.3,€89.48m,€2.89m
19/20,Montpellier HSC,26.6,€81.68m,€2.72m
19/20,Stade Reims,24.2,€81.68m,€2.63m
19/20,FC Toulouse,24.0,€71.88m,€2.05m
19/20,Amiens SC,25.8,€61.93m,€1.67m
19/20,FC Metz,24.8,€54.10m,€1.69m
19/20,Dijon FCO,25.9,€50.23m,€1.62m
19/20,Nîmes Olympique,24.3,€49.65m,€1.42m
19/20,Stade Brestois 29,26.5,€47.78m,€1.71m
22/23,Paris Saint-Germain,25.9,€891.10m,€24.08m
22/23,Stade Rennais FC,24.3,€387.75m,€10.20m
22/23,AS Monaco,24.3,€368.30m,€11.51m
22/23,Olympique Lyon,25.5,€350.95m,€10.32m
22/23,Olympique Marseille,25.6,€331.55m,€8.96m
22/23,OGC Nice,24.3,€310.80m,€7.58m
22/23,LOSC Lille,25.3,€247.95m,€7.51m
22/23,RC Lens,25.4,€238.20m,€6.11m
22/23,FC Lorient,24.6,€175.45m,€4.18m
22/23,Stade Reims,23.8,€159.05m,€3.98m
22/23,Montpellier HSC,25.1,€142.90m,€3.66m
22/23,RC Strasbourg Alsace,26.0,€123.55m,€3.43m
22/23,FC Nantes,26.0,€119.28m,€3.22m
22/23,FC Toulouse,24.0,€104.80m,€2.83m
22/23,Stade Brestois 29,26.3,€76.65m,€2.40m
22/23,ESTAC Troyes,24.9,€76.30m,€1.86m
22/23,Angers SCO,25.1,€71.80m,€1.63m
22/23,AJ Auxerre,26.5,€54.80m,€1.30m
22/23,Clermont Foot 63,26.3,€48.00m,€1.45m
22/23,AC Ajaccio,27.1,€27.00m,€659k
08/09,Olympique Lyon,24.4,€211.70m,€5.72m
08/09,Olympique Marseille,26.2,€146.90m,€4.59m
08/09,FC Girondins Bordeaux,25.6,€123.50m,€4.75m
08/09,Paris Saint-Germain,25.1,€93.35m,€3.01m
08/09,LOSC Lille,24.5,€83.45m,€2.53m
08/09,AS Saint-Étienne,24.6,€80.15m,€2.36m
08/09,Stade Rennais FC,25.0,€79.40m,€2.09m
08/09,AS Monaco,24.4,€77.65m,€2.04m
08/09,FC Toulouse,24.9,€70.65m,€2.44m
08/09,AS Nancy-Lorraine,26.2,€56.70m,€2.03m
08/09,OGC Nice,26.2,€56.25m,€1.81m
08/09,AJ Auxerre,24.9,€53.15m,€1.83m
08/09,Le Mans Union Club 72,24.2,€52.00m,€1.73m
08/09,FC Sochaux-Montbéliard,25.6,€50.90m,€1.54m
08/09,FC Lorient,26.8,€49.25m,€1.64m
08/09,Valenciennes FC,28.1,€41.75m,€1.61m
08/09,SM Caen,26.7,€39.75m,€1.33m
08/09,FC Nantes,26.1,€38.10m,€1.09m
08/09,Grenoble Foot 38,27.5,€34.60m,€989k
08/09,Le Havre AC,24.2,€31.65m,€736k
11/12,Paris Saint-Germain,26.9,€211.10m,€6.03m
11/12,Olympique Lyon,23.8,€163.85m,€3.90m
11/12,Olympique Marseille,25.6,€146.50m,€4.19m
11/12,LOSC Lille,26.9,€145.35m,€5.01m
11/12,Stade Rennais FC,24.2,€101.80m,€3.18m
11/12,Montpellier HSC,26.4,€86.20m,€2.78m
11/12,AS Saint-Étienne,25.8,€85.60m,€2.38m
11/12,FC Toulouse,23.5,€83.05m,€2.52m
11/12,FC Girondins Bordeaux,25.7,€82.05m,€2.74m
11/12,FC Sochaux-Montbéliard,23.8,€58.80m,€1.63m
11/12,FC Lorient,25.4,€54.05m,€1.50m
11/12,AS Nancy-Lorraine,25.8,€53.90m,€1.46m
11/12,OGC Nice,25.5,€52.45m,€1.54m
11/12,AJ Auxerre,24.5,€50.90m,€1.21m
11/12,Valenciennes FC,25.0,€44.50m,€1.24m
11/12,Stade Brestois 29,26.6,€43.20m,€1.17m
11/12,Dijon FCO,25.4,€36.80m,€1.08m
11/12,FC Évian Thonon Gaillard,27.5,€32.90m,€997k
11/12,SM Caen,25.9,€31.80m,€1.14m
11/12,AC Ajaccio,26.7,€26.55m,€805k
13/14,Paris Saint-Germain,25.4,€402.30m,€12.19m
13/14,AS Monaco,25.6,€242.55m,€5.39m
13/14,Olympique Marseille,25.4,€141.30m,€3.93m
13/14,Olympique Lyon,24.7,€108.50m,€3.01m
13/14,AS Saint-Étienne,25.8,€105.40m,€3.10m
13/14,Stade Rennais FC,24.8,€92.60m,€2.37m
13/14,LOSC Lille,25.8,€74.10m,€2.32m
13/14,FC Toulouse,24.3,€67.40m,€1.69m
13/14,FC Girondins Bordeaux,25.9,€62.70m,€1.65m
13/14,FC Lorient,24.7,€57.15m,€1.50m
13/14,OGC Nice,23.5,€56.10m,€1.34m
13/14,Montpellier HSC,25.6,€52.35m,€1.69m
13/14,FC Sochaux-Montbéliard,24.8,€47.45m,€1.08m
13/14,FC Nantes,25.5,€39.55m,€1.16m
13/14,Stade Reims,25.5,€38.73m,€1.11m
13/14,Valenciennes FC,26.0,€36.65m,€1.08m
13/14,SC Bastia,27.0,€35.60m,€1.02m
13/14,FC Évian Thonon Gaillard,26.3,€35.00m,€1.00m
13/14,AC Ajaccio,26.0,€28.30m,€745k
13/14,EA Guingamp,27.0,€21.43m,€714k
12/13,Paris Saint-Germain,27.4,€313.60m,€8.71m
12/13,Olympique Lyon,24.4,€155.65m,€2.99m
12/13,Olympique Marseille,24.5,€150.65m,€3.50m
12/13,LOSC Lille,26.8,€114.60m,€4.09m
12/13,Stade Rennais FC,24.4,€97.80m,€2.79m
12/13,AS Saint-Étienne,25.2,€97.60m,€2.87m
12/13,FC Toulouse,24.2,€82.00m,€2.56m
12/13,FC Girondins Bordeaux,26.5,€80.95m,€2.70m
12/13,Montpellier HSC,25.7,€78.70m,€2.19m
12/13,FC Lorient,26.2,€63.75m,€1.82m
12/13,OGC Nice,23.9,€59.15m,€1.52m
12/13,Valenciennes FC,26.1,€49.75m,€1.55m
12/13,FC Sochaux-Montbéliard,25.2,€46.85m,€1.38m
12/13,AS Nancy-Lorraine,23.6,€36.85m,€996k
12/13,Stade Brestois 29,25.9,€36.10m,€976k
12/13,SC Bastia,26.1,€36.05m,€949k
12/13,FC Évian Thonon Gaillard,27.0,€34.55m,€987k
12/13,AC Ajaccio,27.8,€34.10m,€1.07m
12/13,Stade Reims,26.3,€29.50m,€1.02m
12/13,ESTAC Troyes,26.7,€21.80m,€703k
07/08,Olympique Lyon,26.2,€213.35m,€6.67m
07/08,Olympique Marseille,25.8,€138.35m,€3.84m
07/08,FC Girondins Bordeaux,24.9,€100.75m,€3.25m
07/08,AS Monaco,25.2,€89.75m,€2.56m
07/08,RC Lens,26.2,€82.50m,€2.36m
07/08,AS Saint-Étienne,25.4,€80.40m,€3.09m
07/08,LOSC Lille,24.1,€74.90m,€2.08m
07/08,Paris Saint-Germain,25.1,€73.45m,€2.30m
07/08,Stade Rennais FC,25.4,€73.15m,€2.03m
07/08,Le Mans Union Club 72,23.9,€69.85m,€2.18m
07/08,FC Toulouse,25.2,€69.50m,€2.17m
07/08,OGC Nice,26.5,€68.10m,€2.13m
07/08,AS Nancy-Lorraine,26.1,€67.70m,€2.42m
07/08,FC Sochaux-Montbéliard,25.4,€56.30m,€1.76m
07/08,AJ Auxerre,24.7,€55.00m,€1.67m
07/08,Valenciennes FC,27.5,€46.80m,€1.87m
07/08,RC Strasbourg Alsace,25.1,€41.40m,€1.15m
07/08,FC Lorient,26.0,€39.85m,€1.29m
07/08,SM Caen,26.4,€38.75m,€1.34m
07/08,FC Metz,24.5,€30.95m,€703k
14/15,Paris Saint-Germain,25.7,€363.90m,€11.37m
14/15,AS Monaco,24.6,€187.70m,€5.52m
14/15,Olympique Lyon,24.9,€144.65m,€4.67m
14/15,Olympique Marseille,23.7,€139.70m,€4.11m
14/15,AS Saint-Étienne,25.9,€83.35m,€2.69m
14/15,LOSC Lille,25.7,€82.65m,€2.67m
14/15,FC Girondins Bordeaux,24.3,€71.50m,€1.83m
14/15,Stade Rennais FC,25.5,€66.00m,€2.20m
14/15,FC Lorient,25.2,€59.95m,€1.54m
14/15,OGC Nice,23.9,€56.25m,€1.52m
14/15,Montpellier HSC,25.6,€51.95m,€1.44m
14/15,FC Toulouse,24.3,€48.80m,€1.36m
14/15,FC Nantes,25.5,€46.85m,€1.56m
14/15,Stade Reims,26.2,€39.25m,€1.23m
14/15,EA Guingamp,27.3,€36.25m,€1.17m
14/15,FC Évian Thonon Gaillard,27.4,€36.15m,€1.10m
14/15,SC Bastia,25.1,€34.25m,€835k
14/15,SM Caen,27.6,€32.40m,€1.20m
14/15,FC Metz,25.9,€29.85m,€933k
14/15,RC Lens,24.8,€27.20m,€938k
05/06,Olympique Lyon,25.4,€173.23m,€6.19m
05/06,AS Monaco,25.8,€114.00m,€3.26m
05/06,Olympique Marseille,24.9,€96.38m,€2.01m
05/06,Paris Saint-Germain,26.0,€84.98m,€2.74m
05/06,Stade Rennais FC,23.5,€77.55m,€2.28m
05/06,LOSC Lille,24.2,€76.75m,€2.33m
05/06,FC Girondins Bordeaux,25.6,€68.65m,€2.37m
05/06,RC Lens,25.6,€68.00m,€2.27m
05/06,AJ Auxerre,25.1,€62.75m,€1.79m
05/06,AS Saint-Étienne,24.3,€62.30m,€2.15m
05/06,FC Nantes,24.4,€51.60m,€1.52m
05/06,FC Sochaux-Montbéliard,24.6,€51.00m,€1.46m
05/06,FC Toulouse,24.6,€46.80m,€1.56m
05/06,RC Strasbourg Alsace,24.2,€44.85m,€1.28m
05/06,OGC Nice,26.0,€39.50m,€1.36m
05/06,Le Mans Union Club 72,24.5,€37.50m,€1.25m
05/06,FC Metz,24.1,€37.00m,€881k
05/06,AS Nancy-Lorraine,24.5,€28.40m,€916k
05/06,ESTAC Troyes,27.0,€28.13m,€852k
05/06,AC Ajaccio,26.3,€25.10m,€761k
15/16,Paris Saint-Germain,25.4,€436.30m,€12.47m
15/16,AS Monaco,23.8,€227.40m,€5.83m
15/16,Olympique Lyon,25.5,€166.30m,€5.04m
15/16,Olympique Marseille,24.4,€129.50m,€3.41m
15/16,AS Saint-Étienne,25.6,€97.20m,€2.43m
15/16,Stade Rennais FC,25.1,€94.15m,€2.48m
15/16,FC Girondins Bordeaux,23.9,€90.70m,€2.16m
15/16,OGC Nice,23.9,€70.95m,€2.03m
15/16,LOSC Lille,26.0,€70.80m,€2.08m
15/16,FC Lorient,25.2,€58.05m,€1.66m
15/16,Montpellier HSC,26.3,€44.40m,€1.39m
15/16,Stade Reims,26.2,€42.95m,€1.23m
15/16,FC Toulouse,24.6,€42.90m,€1.34m
15/16,FC Nantes,25.3,€39.30m,€1.23m
15/16,SM Caen,26.0,€36.80m,€1.23m
15/16,EA Guingamp,27.4,€33.50m,€1.08m
15/16,Angers SCO,27.8,€32.35m,€951k
15/16,ESTAC Troyes,26.7,€30.70m,€830k
15/16,SC Bastia,26.3,€24.25m,€782k
15/16,GFC Ajaccio,26.2,€18.40m,€613k
09/10,Olympique Lyon,24.2,€208.30m,€5.63m
09/10,Olympique Marseille,26.5,€146.70m,€4.58m
09/10,FC Girondins Bordeaux,26.0,€143.70m,€4.96m
09/10,LOSC Lille,24.8,€104.60m,€3.17m
09/10,Paris Saint-Germain,27.1,€93.60m,€3.47m
09/10,FC Toulouse,24.4,€89.35m,€2.55m
09/10,Stade Rennais FC,26.0,€87.25m,€2.81m
09/10,AS Monaco,25.4,€87.25m,€2.36m
09/10,AS Saint-Étienne,25.0,€76.15m,€2.38m
09/10,AJ Auxerre,25.0,€64.25m,€1.95m
09/10,OGC Nice,25.7,€60.55m,€1.95m
09/10,AS Nancy-Lorraine,26.2,€59.60m,€1.92m
09/10,FC Lorient,26.9,€58.15m,€1.94m
09/10,Valenciennes FC,26.6,€54.20m,€1.64m
09/10,Montpellier HSC,25.6,€53.10m,€1.61m
09/10,Le Mans Union Club 72,24.5,€48.15m,€1.23m
09/10,FC Sochaux-Montbéliard,23.9,€47.45m,€1.53m
09/10,RC Lens,25.6,€47.05m,€1.47m
09/10,Grenoble Foot 38,26.7,€34.50m,€1.01m
09/10,US Boulogne,26.3,€30.50m,€924k
10/11,Olympique Lyon,24.7,€190.25m,€6.56m
10/11,Olympique Marseille,26.4,€167.90m,€4.80m
10/11,LOSC Lille,25.6,€127.40m,€4.55m
10/11,FC Girondins Bordeaux,25.3,€123.65m,€3.53m
10/11,Stade Rennais FC,24.1,€108.95m,€3.30m
10/11,Paris Saint-Germain,26.9,€100.20m,€3.46m
10/11,FC Toulouse,24.4,€80.63m,€2.52m
10/11,AS Monaco,25.1,€75.40m,€1.98m
10/11,AS Saint-Étienne,25.3,€72.05m,€2.25m
10/11,AJ Auxerre,24.7,€66.15m,€1.65m
10/11,OGC Nice,25.8,€63.50m,€1.76m
10/11,FC Lorient,25.7,€62.75m,€1.96m
10/11,FC Sochaux-Montbéliard,24.6,€60.10m,€2.00m
10/11,Valenciennes FC,25.6,€57.45m,€1.55m
10/11,AS Nancy-Lorraine,26.7,€52.65m,€1.76m
10/11,Montpellier HSC,25.7,€51.35m,€1.60m
10/11,RC Lens,25.1,€45.60m,€1.17m
10/11,SM Caen,25.3,€36.10m,€1.20m
10/11,Stade Brestois 29,26.3,€34.10m,€1.10m
10/11,AC Arles-Avignon,27.6,€19.95m,€539k
06/07,Olympique Lyon,25.7,€236.45m,€6.76m
06/07,Olympique Marseille,24.9,€119.30m,€3.41m
06/07,LOSC Lille,24.7,€102.15m,€3.19m
06/07,AS Monaco,25.6,€97.80m,€2.72m
06/07,Paris Saint-Germain,25.6,€85.90m,€2.60m
06/07,FC Girondins Bordeaux,24.8,€85.40m,€2.44m
06/07,RC Lens,25.3,€81.85m,€2.64m
06/07,AS Saint-Étienne,25.2,€81.10m,€2.62m
06/07,Stade Rennais FC,24.6,€78.85m,€2.39m
06/07,AJ Auxerre,24.2,€68.75m,€1.81m
06/07,FC Sochaux-Montbéliard,25.9,€56.63m,€1.77m
06/07,AS Nancy-Lorraine,25.9,€47.35m,€1.43m
06/07,FC Toulouse,24.4,€46.40m,€1.41m
06/07,Le Mans Union Club 72,23.7,€46.00m,€1.48m
06/07,FC Nantes,24.9,€41.40m,€1.12m
06/07,OGC Nice,25.9,€41.00m,€1.41m
06/07,ESTAC Troyes,27.2,€29.55m,€895k
06/07,CS Sedan-Ardennes,26.5,€25.85m,€834k
06/07,FC Lorient,26.2,€24.28m,€714k
06/07,Valenciennes FC,27.9,€23.68m,€877k
