season,club,foreigners,squad_total_val,player_mean_value
23/24,UD Las Palmas,26.2,€112.40m,€3.21m
23/24,CA Osasuna,27.2,€105.35m,€3.29m
23/24,UD Almería,25.3,€99.40m,€2.42m
23/24,RCD Mallorca,26.9,€87.70m,€2.51m
23/24,Rayo Vallecano,28.9,€63.95m,€2.13m
23/24,Cádiz CF,27.0,€60.70m,€1.38m
21/22,Real Madrid,26.3,€770.75m,€21.41m
21/22,FC Barcelona,25.5,€735.60m,€15.65m
21/22,Atlético de Madrid,25.7,€661.80m,€15.39m
21/22,Villarreal CF,26.5,€408.90m,€10.48m
21/22,Sevilla FC,26.2,€385.00m,€8.95m
21/22,Real Sociedad,25.2,€376.95m,€9.42m
21/22,Valencia CF,24.1,€310.60m,€7.06m
21/22,Real Betis Balompié,27.9,€259.00m,€6.82m
21/22,Athletic Bilbao,26.2,€226.05m,€7.29m
21/22,Getafe CF,25.7,€208.68m,€4.85m
21/22,RCD Espanyol Barcelona,25.9,€131.60m,€3.46m
21/22,Celta de Vigo,26.0,€120.00m,€3.53m
21/22,CA Osasuna,27.4,€108.45m,€3.39m
21/22,Granada CF,26.9,€103.75m,€2.66m
21/22,Levante UD,26.8,€77.90m,€1.85m
21/22,RCD Mallorca,26.2,€74.15m,€1.81m
21/22,Elche CF,27.9,€72.98m,€1.97m
21/22,Cádiz CF,27.7,€67.80m,€1.83m
21/22,Rayo Vallecano,26.7,€67.20m,€1.87m
21/22,Deportivo Alavés,25.6,€65.35m,€1.52m
22/23,Real Madrid,25.9,€923.45m,€25.65m
22/23,FC Barcelona,24.4,€836.80m,€20.41m
22/23,Atlético de Madrid,25.8,€534.30m,€13.36m
22/23,Real Sociedad,25.0,€441.70m,€11.94m
22/23,Villarreal CF,26.4,€363.50m,€8.45m
22/23,Valencia CF,24.5,€249.78m,€6.24m
22/23,Real Betis Balompié,27.6,€246.40m,€6.48m
22/23,Sevilla FC,26.8,€232.58m,€5.54m
22/23,Athletic Bilbao,27.1,€222.45m,€7.18m
22/23,CA Osasuna,27.2,€150.05m,€4.84m
22/23,Girona FC,25.6,€139.90m,€3.78m
22/23,Celta de Vigo,25.7,€138.80m,€3.86m
22/23,Getafe CF,26.5,€118.90m,€3.50m
22/23,RCD Espanyol Barcelona,25.9,€116.50m,€3.15m
22/23,UD Almería,25.9,€114.20m,€3.17m
22/23,RCD Mallorca,26.9,€107.00m,€2.82m
22/23,Rayo Vallecano,28.7,€103.40m,€3.57m
22/23,Real Valladolid CF,26.8,€90.75m,€2.21m
22/23,Elche CF,27.0,€67.50m,€1.69m
22/23,Cádiz CF,27.3,€65.60m,€1.40m
16/17,Real Madrid,26.2,€802.90m,€27.69m
16/17,FC Barcelona,26.3,€765.30m,€23.19m
16/17,Atlético de Madrid,25.1,€515.80m,€13.57m
16/17,Sevilla FC,26.1,€270.10m,€7.11m
16/17,Valencia CF,25.3,€257.50m,€6.78m
16/17,Villarreal CF,26.3,€190.70m,€5.61m
16/17,Athletic Bilbao,27.3,€172.60m,€5.75m
16/17,Real Sociedad,26.2,€156.45m,€5.22m
16/17,Celta de Vigo,26.0,€122.40m,€4.22m
16/17,Deportivo de La Coruña,27.2,€94.00m,€2.54m
16/17,Deportivo Alavés,25.8,€85.40m,€2.85m
16/17,Málaga CF,26.5,€84.30m,€2.63m
16/17,UD Las Palmas,27.2,€84.30m,€2.55m
16/17,Real Betis Balompié,26.8,€84.20m,€3.01m
16/17,RCD Espanyol Barcelona,27.8,€80.80m,€2.79m
16/17,SD Eibar,26.4,€67.95m,€2.43m
16/17,Granada CF,25.6,€66.45m,€1.66m
16/17,CD Leganés,26.6,€53.15m,€1.44m
16/17,Sporting Gijón,26.3,€46.75m,€1.51m
16/17,CA Osasuna,26.0,€42.90m,€1.16m
15/16,FC Barcelona,26.4,€726.00m,€22.69m
15/16,Real Madrid,25.3,€714.30m,€23.81m
15/16,Atlético de Madrid,25.9,€418.50m,€13.95m
15/16,Valencia CF,24.1,€254.00m,€6.68m
15/16,Sevilla FC,26.2,€230.30m,€6.06m
15/16,Athletic Bilbao,27.4,€148.00m,€5.29m
15/16,Villarreal CF,25.8,€140.60m,€5.02m
15/16,Real Sociedad,26.0,€119.40m,€3.73m
15/16,Celta de Vigo,25.2,€91.10m,€3.25m
15/16,Málaga CF,27.5,€77.95m,€2.36m
15/16,Granada CF,26.3,€71.50m,€2.17m
15/16,RCD Espanyol Barcelona,25.6,€62.20m,€1.88m
15/16,Deportivo de La Coruña,28.7,€61.75m,€2.06m
15/16,SD Eibar,26.2,€56.60m,€1.62m
15/16,Real Betis Balompié,27.4,€56.40m,€1.71m
15/16,Sporting Gijón,25.2,€53.20m,€1.83m
15/16,Levante UD,27.8,€53.10m,€1.71m
15/16,Rayo Vallecano,28.4,€49.60m,€1.42m
15/16,Getafe CF,26.2,€49.10m,€1.64m
15/16,UD Las Palmas,27.7,€32.20m,€976k
18/19,FC Barcelona,25.2,€1.16bn,€29.72m
18/19,Atlético de Madrid,24.7,€969.70m,€26.21m
18/19,Real Madrid,25.2,€896.10m,€24.89m
18/19,Valencia CF,25.2,€499.65m,€15.14m
18/19,Sevilla FC,26.6,€306.30m,€8.06m
18/19,Real Sociedad,24.6,€300.95m,€9.12m
18/19,Real Betis Balompié,25.9,€290.75m,€8.55m
18/19,Athletic Bilbao,27.3,€234.25m,€7.32m
18/19,Celta de Vigo,25.9,€234.10m,€7.80m
18/19,Villarreal CF,27.9,€230.65m,€7.21m
18/19,RCD Espanyol Barcelona,27.3,€174.70m,€5.82m
18/19,Getafe CF,27.7,€132.20m,€4.72m
18/19,CD Leganés,26.4,€112.45m,€2.96m
18/19,Deportivo Alavés,26.4,€110.80m,€3.82m
18/19,Levante UD,26.4,€107.85m,€3.48m
18/19,Girona FC,26.3,€97.25m,€2.95m
18/19,SD Eibar,28.1,€93.90m,€3.24m
18/19,Rayo Vallecano,26.7,€86.70m,€2.41m
18/19,Real Valladolid CF,25.6,€83.00m,€2.02m
18/19,SD Huesca,27.2,€61.40m,€1.57m
14/15,Real Madrid,24.7,€787.80m,€19.21m
14/15,FC Barcelona,25.9,€603.80m,€19.48m
14/15,Atlético de Madrid,26.2,€356.00m,€11.13m
14/15,Valencia CF,24.5,€230.00m,€8.85m
14/15,Sevilla FC,25.5,€166.75m,€4.90m
14/15,Villarreal CF,24.5,€132.70m,€3.59m
14/15,Athletic Bilbao,26.6,€112.10m,€4.15m
14/15,Real Sociedad,26.0,€96.80m,€3.23m
14/15,Málaga CF,27.1,€82.80m,€2.76m
14/15,RCD Espanyol Barcelona,26.0,€75.70m,€2.37m
14/15,Granada CF,25.8,€67.55m,€1.73m
14/15,Celta de Vigo,24.8,€60.40m,€2.16m
14/15,Deportivo de La Coruña,26.9,€53.40m,€1.62m
14/15,Rayo Vallecano,27.1,€51.70m,€1.78m
14/15,Córdoba CF,26.3,€50.90m,€1.41m
14/15,Getafe CF,26.7,€50.20m,€1.52m
14/15,Levante UD,28.3,€43.45m,€1.40m
14/15,Elche CF,26.2,€38.60m,€1.33m
14/15,UD Almería,25.5,€38.30m,€1.24m
14/15,SD Eibar,28.7,€29.40m,€1.18m
25/26,Real Madrid,26.0,€1.40bn,€56.04m
25/26,FC Barcelona,25.6,€1.11bn,€48.17m
25/26,Atlético de Madrid,27.7,€623.80m,€25.99m
25/26,Athletic Bilbao,27.1,€369.70m,€13.69m
25/26,Villarreal CF,26.3,€280.30m,€10.38m
25/26,Real Sociedad,26.0,€252.90m,€9.73m
25/26,Real Betis Balompié,28.7,€215.50m,€8.29m
25/26,Valencia CF,27.3,€166.60m,€7.24m
25/26,Girona FC,28.1,€155.20m,€6.21m
25/26,Celta de Vigo,26.3,€141.40m,€5.05m
25/26,Sevilla FC,27.7,€127.10m,€4.71m
25/26,RCD Espanyol Barcelona,26.6,€99.00m,€4.13m
25/26,CA Osasuna,28.1,€89.20m,€4.25m
25/26,Rayo Vallecano,28.8,€88.43m,€3.54m
25/26,Levante UD,26.4,€87.20m,€3.63m
25/26,RCD Mallorca,28.1,€85.20m,€3.41m
25/26,Elche CF,26.1,€79.90m,€3.07m
25/26,Deportivo Alavés,28.2,€70.40m,€3.06m
25/26,Getafe CF,28.3,€67.80m,€3.08m
25/26,Real Oviedo,28.8,€60.80m,€2.34m
10/11,FC Barcelona,25.1,€604.70m,€17.28m
10/11,Real Madrid,24.7,€519.00m,€13.66m
10/11,Atlético de Madrid,25.4,€187.00m,€6.03m
10/11,Valencia CF,26.9,€176.60m,€5.52m
10/11,Sevilla FC,26.1,€175.60m,€4.88m
10/11,Villarreal CF,25.8,€170.60m,€5.02m
10/11,Athletic Bilbao,25.6,€112.00m,€3.73m
10/11,RCD Espanyol Barcelona,24.6,€78.40m,€2.24m
10/11,UD Almería,26.2,€73.60m,€2.45m
10/11,Málaga CF,26.9,€71.05m,€1.92m
10/11,Real Sociedad,26.3,€66.70m,€2.57m
10/11,Getafe CF,25.8,€66.40m,€2.29m
10/11,Deportivo de La Coruña,27.0,€63.70m,€1.93m
10/11,Racing Santander,26.4,€59.30m,€1.98m
10/11,CA Osasuna,28.5,€57.90m,€2.00m
10/11,Real Zaragoza,26.6,€57.00m,€1.90m
10/11,RCD Mallorca,26.0,€53.70m,€1.92m
10/11,Sporting Gijón,26.3,€53.40m,€1.62m
10/11,Hércules CF,27.3,€51.70m,€1.62m
10/11,Levante UD,27.2,€37.40m,€1.13m
08/09,Real Madrid,26.0,€428.60m,€11.91m
08/09,FC Barcelona,25.3,€425.40m,€12.51m
08/09,Valencia CF,26.7,€227.50m,€6.50m
08/09,Atlético de Madrid,26.1,€221.40m,€7.63m
08/09,Sevilla FC,25.9,€202.70m,€5.79m
08/09,Villarreal CF,26.9,€170.00m,€5.48m
08/09,Real Betis Balompié,27.1,€118.70m,€3.60m
08/09,RCD Espanyol Barcelona,26.2,€95.30m,€3.07m
08/09,Racing Santander,25.9,€85.50m,€2.44m
08/09,UD Almería,26.4,€80.00m,€3.20m
08/09,Athletic Bilbao,26.3,€77.60m,€2.43m
08/09,Deportivo de La Coruña,26.4,€77.30m,€2.27m
08/09,Getafe CF,27.2,€74.50m,€2.66m
08/09,RCD Mallorca,26.3,€68.90m,€2.55m
08/09,CA Osasuna,26.9,€67.10m,€2.16m
08/09,Málaga CF,28.0,€54.00m,€2.00m
08/09,Recreativo Huelva,26.5,€49.90m,€1.61m
08/09,Real Valladolid CF,28.1,€48.80m,€1.81m
08/09,CD Numancia,27.3,€38.10m,€1.19m
08/09,Sporting Gijón,26.6,€36.30m,€1.17m
07/08,FC Barcelona,26.2,€413.70m,€12.17m
07/08,Real Madrid,26.4,€355.80m,€13.68m
07/08,Valencia CF,26.7,€236.50m,€7.88m
07/08,Atlético de Madrid,25.8,€211.70m,€5.72m
07/08,Sevilla FC,26.3,€199.40m,€5.70m
07/08,Villarreal CF,26.8,€149.30m,€4.98m
07/08,RCD Espanyol Barcelona,26.1,€120.50m,€4.02m
07/08,Real Zaragoza,26.6,€119.90m,€3.75m
07/08,CA Osasuna,25.8,€81.90m,€2.64m
07/08,Real Betis Balompié,26.3,€81.10m,€2.53m
07/08,RCD Mallorca,26.2,€79.60m,€2.74m
07/08,Athletic Bilbao,26.7,€75.00m,€2.34m
07/08,Racing Santander,25.5,€73.70m,€2.23m
07/08,Deportivo de La Coruña,25.8,€72.10m,€2.18m
07/08,Getafe CF,26.0,€68.90m,€2.15m
07/08,UD Almería,26.4,€56.70m,€2.18m
07/08,Recreativo Huelva,27.4,€55.60m,€1.92m
07/08,Real Murcia CF,27.8,€50.10m,€1.73m
07/08,Real Valladolid CF,27.8,€47.65m,€1.59m
07/08,Levante UD,27.7,€41.50m,€1.12m
20/21,FC Barcelona,25.5,€813.50m,€25.42m
20/21,Real Madrid,25.3,€787.30m,€21.28m
20/21,Atlético de Madrid,25.4,€773.10m,€19.82m
20/21,Sevilla FC,26.2,€418.25m,€11.01m
20/21,Real Sociedad,25.1,€406.60m,€10.70m
20/21,Villarreal CF,26.4,€292.60m,€8.13m
20/21,Valencia CF,25.2,€278.85m,€7.97m
20/21,Real Betis Balompié,27.2,€207.70m,€6.29m
20/21,Athletic Bilbao,26.4,€204.15m,€6.38m
20/21,Getafe CF,25.9,€170.10m,€5.15m
20/21,Celta de Vigo,24.8,€155.85m,€3.80m
20/21,Granada CF,25.3,€122.65m,€2.79m
20/21,Levante UD,27.0,€113.00m,€3.32m
20/21,CA Osasuna,27.5,€96.75m,€2.69m
20/21,SD Eibar,27.5,€83.40m,€2.45m
20/21,Deportivo Alavés,26.1,€79.80m,€2.28m
20/21,SD Huesca,26.9,€64.10m,€1.89m
20/21,Real Valladolid CF,27.1,€63.35m,€1.55m
20/21,Cádiz CF,27.6,€47.65m,€1.16m
20/21,Elche CF,27.2,€45.65m,€1.11m
13/14,Real Madrid,25.5,€636.80m,€19.90m
13/14,FC Barcelona,26.6,€592.20m,€20.42m
13/14,Atlético de Madrid,25.5,€308.80m,€8.82m
13/14,Valencia CF,25.1,€178.80m,€4.26m
13/14,Sevilla FC,25.0,€141.15m,€3.81m
13/14,Real Sociedad,25.9,€136.70m,€4.41m
13/14,Athletic Bilbao,26.2,€130.70m,€4.84m
13/14,Villarreal CF,24.8,€77.30m,€2.67m
13/14,Málaga CF,26.5,€62.50m,€2.02m
13/14,Real Betis Balompié,24.9,€58.60m,€1.43m
13/14,Granada CF,25.5,€57.48m,€1.69m
13/14,Getafe CF,27.4,€55.90m,€1.75m
13/14,RCD Espanyol Barcelona,26.2,€51.30m,€1.97m
13/14,Celta de Vigo,26.1,€49.90m,€1.72m
13/14,Rayo Vallecano,25.7,€46.10m,€1.40m
13/14,Elche CF,27.3,€44.60m,€1.39m
13/14,Levante UD,28.2,€42.40m,€1.28m
13/14,CA Osasuna,27.5,€42.30m,€1.46m
13/14,Real Valladolid CF,27.1,€41.20m,€1.33m
13/14,UD Almería,26.7,€36.45m,€1.07m
17/18,FC Barcelona,26.8,€1.09bn,€34.19m
17/18,Real Madrid,25.0,€955.35m,€29.85m
17/18,Atlético de Madrid,25.8,€711.15m,€19.75m
17/18,Valencia CF,24.7,€398.05m,€13.27m
17/18,Sevilla FC,27.0,€253.20m,€7.67m
17/18,Athletic Bilbao,26.4,€249.40m,€7.56m
17/18,Real Sociedad,26.8,€232.95m,€8.03m
17/18,Villarreal CF,25.8,€220.00m,€5.50m
17/18,Celta de Vigo,25.0,€173.05m,€5.41m
17/18,Real Betis Balompié,26.4,€132.25m,€4.27m
17/18,RCD Espanyol Barcelona,27.8,€97.80m,€3.37m
17/18,UD Las Palmas,27.4,€91.25m,€2.40m
17/18,Girona FC,25.8,€81.75m,€2.73m
17/18,Deportivo Alavés,25.6,€74.80m,€2.27m
17/18,Deportivo de La Coruña,27.3,€66.45m,€1.85m
17/18,Getafe CF,27.1,€65.60m,€1.82m
17/18,Levante UD,25.8,€61.85m,€1.67m
17/18,SD Eibar,27.4,€60.05m,€1.82m
17/18,CD Leganés,27.3,€58.55m,€1.72m
17/18,Málaga CF,26.2,€55.20m,€1.38m
09/10,FC Barcelona,25.6,€515.40m,€16.63m
09/10,Real Madrid,25.7,€451.70m,€14.12m
09/10,Valencia CF,26.2,€240.00m,€7.06m
09/10,Sevilla FC,26.0,€218.30m,€6.06m
09/10,Atlético de Madrid,24.6,€210.80m,€5.70m
09/10,Villarreal CF,27.0,€163.70m,€5.28m
09/10,Athletic Bilbao,25.7,€100.80m,€2.80m
09/10,Real Zaragoza,26.8,€87.25m,€2.30m
09/10,Getafe CF,26.9,€77.30m,€2.67m
09/10,Deportivo de La Coruña,26.4,€75.90m,€2.45m
09/10,RCD Espanyol Barcelona,25.2,€71.00m,€2.09m
09/10,Racing Santander,25.9,€65.50m,€1.98m
09/10,RCD Mallorca,26.9,€65.10m,€2.33m
09/10,UD Almería,26.9,€63.70m,€2.55m
09/10,CA Osasuna,27.8,€60.00m,€2.22m
09/10,Málaga CF,25.8,€58.60m,€1.58m
09/10,Sporting Gijón,25.9,€55.20m,€1.58m
09/10,Real Valladolid CF,25.9,€50.50m,€1.49m
09/10,CD Tenerife,27.4,€34.00m,€1.42m
09/10,Xerez CD,27.4,€32.50m,€1.16m
11/12,FC Barcelona,25.3,€618.20m,€17.66m
11/12,Real Madrid,25.2,€539.20m,€16.34m
11/12,Atlético de Madrid,24.9,€210.00m,€5.68m
11/12,Valencia CF,26.0,€181.00m,€6.46m
11/12,Athletic Bilbao,25.7,€144.20m,€4.81m
11/12,Villarreal CF,26.0,€137.00m,€3.91m
11/12,Sevilla FC,25.6,€133.00m,€3.91m
11/12,Málaga CF,27.4,€121.30m,€3.79m
11/12,RCD Espanyol Barcelona,24.5,€81.20m,€2.19m
11/12,Real Sociedad,25.8,€74.70m,€2.87m
11/12,Getafe CF,26.9,€70.95m,€2.09m
11/12,RCD Mallorca,25.2,€62.20m,€1.94m
11/12,Real Zaragoza,26.6,€61.00m,€1.85m
11/12,Granada CF,26.8,€60.60m,€1.89m
11/12,Sporting Gijón,26.4,€53.40m,€1.62m
11/12,Real Betis Balompié,26.2,€52.70m,€1.46m
11/12,Rayo Vallecano,26.3,€47.30m,€1.28m
11/12,CA Osasuna,27.5,€44.40m,€1.39m
11/12,Racing Santander,24.6,€42.60m,€1.12m
11/12,Levante UD,27.9,€40.25m,€1.18m
06/07,Real Madrid,25.3,€372.20m,€9.54m
06/07,FC Barcelona,26.4,€366.50m,€11.45m
06/07,Valencia CF,26.5,€232.70m,€7.05m
06/07,Atlético de Madrid,24.9,€174.00m,€5.12m
06/07,Sevilla FC,26.5,€139.80m,€4.66m
06/07,Real Zaragoza,27.1,€121.25m,€4.66m
06/07,Villarreal CF,27.0,€109.05m,€3.30m
06/07,Deportivo de La Coruña,25.3,€98.85m,€3.00m
06/07,Real Betis Balompié,27.1,€78.93m,€2.32m
06/07,CA Osasuna,25.2,€71.35m,€2.10m
06/07,RCD Espanyol Barcelona,25.2,€62.15m,€1.83m
06/07,RCD Mallorca,27.0,€55.30m,€2.30m
06/07,Athletic Bilbao,26.3,€54.90m,€1.83m
06/07,Celta de Vigo,26.5,€54.88m,€1.71m
06/07,Levante UD,29.9,€53.75m,€1.79m
06/07,Racing Santander,25.9,€49.30m,€1.45m
06/07,Real Sociedad,26.6,€45.20m,€1.41m
06/07,Recreativo Huelva,27.1,€41.90m,€1.50m
06/07,Getafe CF,28.0,€40.05m,€1.60m
06/07,Gimnàstic de Tarragona,29.3,€28.25m,€831k
05/06,FC Barcelona,25.4,€327.50m,€9.63m
05/06,Real Madrid,25.4,€281.60m,€7.82m
05/06,Valencia CF,27.3,€213.55m,€6.28m
05/06,Atlético de Madrid,24.2,€134.15m,€4.33m
05/06,Deportivo de La Coruña,27.5,€133.80m,€3.94m
05/06,Sevilla FC,26.0,€96.85m,€2.85m
05/06,Real Betis Balompié,26.2,€85.95m,€2.60m
05/06,Villarreal CF,25.9,€82.00m,€2.56m
05/06,Real Zaragoza,27.7,€66.55m,€2.66m
05/06,RCD Espanyol Barcelona,25.5,€58.98m,€1.90m
05/06,Real Sociedad,25.9,€53.83m,€1.74m
05/06,Celta de Vigo,26.7,€48.30m,€1.79m
05/06,Athletic Bilbao,25.2,€47.23m,€1.15m
05/06,RCD Mallorca,26.1,€42.15m,€1.36m
05/06,CA Osasuna,26.6,€40.70m,€1.63m
05/06,Getafe CF,27.4,€36.38m,€1.40m
05/06,Deportivo Alavés,28.2,€34.83m,€1.12m
05/06,Racing Santander,25.4,€30.35m,€893k
05/06,Málaga CF,26.0,€28.03m,€849k
05/06,Cádiz CF,28.8,€22.15m,€791k
12/13,FC Barcelona,26.3,€586.60m,€19.55m
12/13,Real Madrid,25.9,€582.40m,€17.13m
12/13,Atlético de Madrid,24.9,€267.00m,€8.09m
12/13,Valencia CF,25.6,€172.90m,€5.76m
12/13,Sevilla FC,25.3,€144.80m,€4.26m
12/13,Málaga CF,27.2,€122.90m,€3.72m
12/13,Athletic Bilbao,24.2,€119.85m,€3.42m
12/13,Real Sociedad,25.5,€112.80m,€4.34m
12/13,Granada CF,27.2,€72.80m,€2.35m
12/13,Getafe CF,27.2,€68.30m,€2.20m
12/13,Real Betis Balompié,25.8,€66.20m,€1.79m
12/13,RCD Espanyol Barcelona,25.9,€64.10m,€2.07m
12/13,Rayo Vallecano,26.1,€49.75m,€1.46m
12/13,Celta de Vigo,26.8,€49.10m,€1.64m
12/13,RCD Mallorca,25.3,€47.10m,€1.31m
12/13,Real Zaragoza,26.5,€46.80m,€1.26m
12/13,CA Osasuna,28.2,€46.40m,€1.50m
12/13,Deportivo de La Coruña,28.8,€45.60m,€1.47m
12/13,Levante UD,28.4,€41.10m,€1.28m
12/13,Real Valladolid CF,27.0,€38.80m,€1.55m
