season,club,foreigners,squad_total_val,player_mean_value
25/26,AC Milan,26.6,€471.50m,€21.43m
20/21,Inter Milan,25.7,€663.90m,€16.19m
20/21,Juventus FC,25.2,€633.30m,€14.07m
20/21,AC Milan,24.4,€547.78m,€13.04m
20/21,SSC Napoli,26.5,€530.20m,€16.57m
20/21,Atalanta BC,25.5,€430.00m,€11.03m
20/21,AS Roma,25.1,€395.65m,€8.60m
25/26,Atalanta BC,26.9,€459.10m,€17.66m
25/26,AS Roma,25.9,€401.00m,€14.32m
25/26,ACF Fiorentina,25.8,€285.35m,€9.51m
25/26,Como 1907,26.7,€285.10m,€9.50m
25/26,Bologna FC 1909,27.1,€272.80m,€9.74m
25/26,SS Lazio,28.2,€266.35m,€9.51m
25/26,Parma Calcio 1913,24.6,€153.08m,€4.94m
25/26,Torino FC,26.4,€152.75m,€5.09m
25/26,Udinese Calcio,25.7,€152.35m,€5.25m
25/26,US Sassuolo,25.6,€148.60m,€4.95m
25/26,Genoa CFC,26.1,€141.95m,€4.89m
25/26,Cagliari Calcio,25.7,€102.23m,€3.53m
25/26,Pisa Sporting Club,25.9,€96.00m,€3.00m
25/26,Hellas Verona,25.7,€91.20m,€3.04m
20/21,SS Lazio,26.1,€326.33m,€7.42m
20/21,ACF Fiorentina,26.1,€286.80m,€7.00m
20/21,US Sassuolo,25.4,€241.74m,€6.20m
20/21,Cagliari Calcio,25.8,€187.83m,€4.47m
20/21,Torino FC,25.8,€175.28m,€4.38m
20/21,Udinese Calcio,26.2,€173.00m,€4.12m
20/21,Hellas Verona,24.7,€157.21m,€3.42m
20/21,Bologna FC 1909,24.6,€153.60m,€3.41m
20/21,Parma Calcio 1913,25.5,€128.70m,€2.43m
20/21,UC Sampdoria,26.9,€127.18m,€3.74m
20/21,Genoa CFC,26.9,€111.93m,€2.54m
20/21,Spezia Calcio,26.2,€71.68m,€1.84m
20/21,FC Crotone,26.5,€52.75m,€1.29m
20/21,Benevento Calcio,27.8,€50.13m,€1.39m
25/26,US Cremonese,27.8,€77.15m,€2.57m
25/26,US Lecce,25.1,€75.38m,€2.43m
18/19,Juventus FC,25.4,€871.05m,€14.76m
18/19,SSC Napoli,24.8,€646.80m,€11.98m
18/19,Inter Milan,24.5,€617.93m,€10.30m
18/19,AC Milan,24.9,€578.48m,€12.86m
18/19,AS Roma,24.2,€459.05m,€8.05m
18/19,Atalanta BC,23.2,€367.68m,€4.18m
18/19,ACF Fiorentina,23.4,€315.33m,€5.63m
18/19,SS Lazio,24.9,€291.15m,€5.11m
18/19,US Sassuolo,24.4,€242.05m,€4.10m
18/19,Torino FC,24.2,€239.23m,€3.86m
18/19,UC Sampdoria,24.0,€216.75m,€3.67m
18/19,Udinese Calcio,25.2,€201.20m,€3.59m
18/19,Genoa CFC,24.3,€191.73m,€2.78m
18/19,Cagliari Calcio,26.4,€155.38m,€3.17m
18/19,Bologna FC 1909,25.4,€119.68m,€2.49m
18/19,FC Empoli,24.6,€105.60m,€1.79m
18/19,SPAL,25.8,€97.40m,€1.91m
18/19,Parma Calcio 1913,26.1,€95.75m,€1.37m
18/19,Chievo Verona,25.2,€54.70m,€804k
18/19,Frosinone Calcio,26.2,€54.53m,€1.24m
19/20,Juventus FC,27.2,€661.88m,€17.42m
19/20,Inter Milan,27.3,€606.05m,€17.83m
19/20,SSC Napoli,27.3,€548.28m,€16.61m
19/20,AC Milan,25.7,€404.33m,€10.93m
19/20,AS Roma,26.1,€392.73m,€10.91m
19/20,SS Lazio,26.6,€303.88m,€8.94m
19/20,ACF Fiorentina,25.2,€302.23m,€7.20m
19/20,Atalanta BC,25.4,€291.43m,€7.88m
19/20,US Sassuolo,24.8,€167.98m,€3.82m
19/20,Cagliari Calcio,26.3,€167.83m,€4.09m
19/20,Torino FC,25.2,€163.55m,€4.42m
19/20,Genoa CFC,26.7,€142.38m,€3.31m
19/20,UC Sampdoria,25.7,€135.28m,€3.56m
19/20,Bologna FC 1909,25.0,€129.65m,€3.24m
19/20,Parma Calcio 1913,26.6,€128.75m,€3.22m
19/20,Udinese Calcio,25.3,€121.08m,€3.10m
19/20,Hellas Verona,25.4,€112.53m,€2.81m
19/20,Brescia Calcio (- 2025),26.4,€83.23m,€2.52m
19/20,SPAL,26.1,€73.63m,€1.75m
19/20,US Lecce,25.4,€52.33m,€1.11m
24/25,Inter Milan,25.5,€741.85m,€16.13m
24/25,Juventus FC,24.6,€628.73m,€14.62m
24/25,AC Milan,25.1,€581.70m,€14.19m
24/25,Atalanta BC,25.4,€501.20m,€11.39m
24/25,SSC Napoli,26.9,€500.45m,€13.53m
24/25,AS Roma,25.7,€390.30m,€10.01m
24/25,ACF Fiorentina,25.2,€368.13m,€8.37m
24/25,Bologna FC 1909,25.2,€340.65m,€8.96m
24/25,SS Lazio,26.0,€294.90m,€7.19m
24/25,Torino FC,24.9,€219.28m,€4.57m
24/25,Como 1907,26.5,€203.43m,€3.99m
24/25,Udinese Calcio,25.7,€198.90m,€4.97m
24/25,Genoa CFC,24.9,€175.35m,€3.65m
24/25,Parma Calcio 1913,25.1,€175.11m,€4.38m
24/25,US Lecce,24.8,€113.43m,€2.58m
24/25,Hellas Verona,25.2,€107.35m,€2.56m
24/25,FC Empoli,24.5,€106.58m,€2.05m
24/25,AC Monza,26.3,€95.83m,€2.08m
24/25,Venezia FC,25.9,€95.60m,€2.33m
24/25,Cagliari Calcio,26.7,€93.63m,€2.60m
21/22,Juventus FC,25.5,€642.50m,€14.94m
21/22,Inter Milan,27.7,€558.55m,€15.52m
21/22,AC Milan,25.8,€546.95m,€14.78m
21/22,SSC Napoli,25.8,€477.23m,€12.90m
21/22,Atalanta BC,24.9,€398.75m,€9.06m
21/22,AS Roma,24.3,€381.25m,€9.78m
21/22,ACF Fiorentina,25.9,€325.80m,€8.57m
21/22,SS Lazio,27.5,€264.53m,€7.56m
21/22,US Sassuolo,25.5,€251.00m,€5.84m
21/22,Torino FC,25.3,€223.40m,€5.45m
21/22,Bologna FC 1909,24.2,€186.20m,€4.14m
21/22,Hellas Verona,25.2,€162.98m,€3.79m
21/22,Udinese Calcio,25.4,€142.30m,€3.23m
21/22,Cagliari Calcio,25.5,€134.53m,€2.92m
21/22,UC Sampdoria,26.7,€128.55m,€2.79m
21/22,FC Empoli,25.0,€126.50m,€3.16m
21/22,Genoa CFC,26.5,€121.28m,€2.58m
21/22,Venezia FC,25.2,€80.98m,€1.59m
21/22,Spezia Calcio,24.1,€78.50m,€2.31m
21/22,US Salernitana 1919,26.3,€70.56m,€1.38m
22/23,SSC Napoli,26.7,€654.08m,€21.10m
22/23,Inter Milan,26.9,€567.55m,€16.22m
22/23,AC Milan,26.4,€545.10m,€15.14m
22/23,Juventus FC,25.9,€483.13m,€12.08m
22/23,AS Roma,24.2,€361.38m,€7.69m
22/23,Atalanta BC,24.9,€338.38m,€8.90m
22/23,SS Lazio,26.5,€266.43m,€8.07m
22/23,ACF Fiorentina,25.6,€258.80m,€6.81m
22/23,US Sassuolo,25.4,€232.20m,€6.63m
22/23,Torino FC,24.3,€197.19m,€5.19m
22/23,Udinese Calcio,25.3,€188.86m,€4.97m
22/23,Bologna FC 1909,25.3,€153.63m,€4.04m
22/23,AC Monza,26.6,€135.70m,€3.31m
22/23,FC Empoli,24.8,€125.53m,€2.85m
22/23,Hellas Verona,25.2,€123.89m,€2.69m
22/23,US Salernitana 1919,26.9,€118.35m,€2.63m
22/23,Spezia Calcio,24.9,€115.81m,€2.41m
22/23,US Lecce,25.1,€105.20m,€2.70m
22/23,US Cremonese,26.2,€83.78m,€1.99m
22/23,UC Sampdoria,26.4,€82.96m,€1.73m
13/14,Juventus FC,26.0,€391.45m,€8.16m
13/14,Inter Milan,24.7,€292.65m,€4.65m
13/14,SSC Napoli,27.3,€276.60m,€7.68m
13/14,AC Milan,25.8,€263.95m,€5.62m
13/14,ACF Fiorentina,25.8,€249.13m,€4.45m
13/14,AS Roma,24.3,€246.40m,€4.18m
13/14,SS Lazio,25.5,€162.95m,€3.02m
13/14,Udinese Calcio,24.2,€123.95m,€1.97m
13/14,Genoa CFC,24.9,€102.10m,€1.55m
13/14,Parma FC,25.6,€89.78m,€1.87m
13/14,US Sassuolo,25.4,€87.85m,€1.57m
13/14,Cagliari Calcio,25.4,€86.20m,€2.39m
13/14,UC Sampdoria,24.9,€83.48m,€1.44m
13/14,Torino FC,26.0,€80.25m,€1.87m
13/14,Calcio Catania,24.8,€78.98m,€1.46m
13/14,Atalanta BC,25.4,€73.93m,€1.19m
13/14,AS Livorno,25.3,€71.18m,€1.48m
13/14,Bologna FC 1909,25.1,€69.83m,€1.09m
13/14,Chievo Verona,25.4,€69.08m,€959k
13/14,Hellas Verona,25.9,€67.13m,€1.24m
17/18,Juventus FC,26.9,€653.15m,€19.79m
17/18,SSC Napoli,25.6,€504.25m,€12.61m
17/18,Inter Milan,26.5,€487.28m,€14.33m
17/18,AS Roma,24.1,€469.10m,€9.98m
17/18,SS Lazio,25.3,€408.78m,€9.29m
17/18,AC Milan,25.0,€407.05m,€9.69m
17/18,ACF Fiorentina,24.4,€237.33m,€5.79m
17/18,Atalanta BC,24.0,€207.95m,€5.62m
17/18,UC Sampdoria,25.1,€190.45m,€4.88m
17/18,Torino FC,24.2,€175.53m,€3.44m
17/18,Genoa CFC,26.5,€135.13m,€3.07m
17/18,US Sassuolo,25.5,€126.78m,€3.25m
17/18,Udinese Calcio,24.4,€108.03m,€2.35m
17/18,Bologna FC 1909,25.8,€103.55m,€2.53m
17/18,Cagliari Calcio,25.8,€98.58m,€2.40m
17/18,SPAL 2013,25.9,€63.55m,€1.51m
17/18,Benevento Calcio,25.5,€57.83m,€1.20m
17/18,Hellas Verona,26.0,€56.50m,€1.38m
17/18,Chievo Verona,28.0,€55.23m,€1.53m
17/18,FC Crotone,24.5,€47.88m,€1.20m
15/16,Juventus FC,25.9,€440.00m,€11.58m
15/16,AS Roma,25.2,€332.90m,€6.94m
15/16,SSC Napoli,26.5,€321.93m,€9.47m
15/16,Inter Milan,25.7,€294.28m,€7.01m
15/16,AC Milan,26.1,€213.83m,€5.09m
15/16,ACF Fiorentina,26.6,€190.53m,€4.89m
15/16,SS Lazio,26.2,€175.30m,€4.61m
15/16,UC Sampdoria,26.5,€126.53m,€2.94m
15/16,Genoa CFC,24.8,€117.55m,€2.50m
15/16,US Sassuolo,25.1,€97.00m,€2.49m
15/16,Udinese Calcio,26.8,€93.00m,€2.16m
15/16,Torino FC,26.1,€89.83m,€2.30m
15/16,Atalanta BC,27.2,€78.45m,€1.78m
15/16,Bologna FC 1909,26.3,€75.23m,€1.79m
15/16,FC Empoli,24.6,€74.60m,€1.96m
15/16,US Palermo,24.9,€68.68m,€1.72m
15/16,Carpi FC 1909,26.4,€52.05m,€1.27m
15/16,Chievo Verona,28.0,€49.78m,€1.24m
15/16,Hellas Verona,26.3,€47.73m,€1.14m
15/16,Frosinone Calcio,26.5,€38.30m,€1.09m
14/15,Juventus FC,27.4,€329.00m,€9.40m
14/15,AS Roma,26.3,€276.78m,€6.44m
14/15,SSC Napoli,27.2,€262.18m,€7.71m
14/15,Inter Milan,25.0,€260.70m,€5.93m
14/15,AC Milan,25.7,€236.13m,€5.02m
14/15,ACF Fiorentina,26.4,€216.13m,€4.41m
14/15,SS Lazio,26.8,€167.55m,€4.65m
11/12,Inter Milan,26.0,€303.05m,€6.31m
11/12,AC Milan,26.8,€273.53m,€6.08m
11/12,Juventus FC,28.2,€262.28m,€7.71m
11/12,SSC Napoli,28.7,€204.75m,€7.06m
11/12,AS Roma,25.9,€172.78m,€4.43m
11/12,Udinese Calcio,23.9,€140.13m,€2.86m
11/12,ACF Fiorentina,25.1,€130.83m,€3.27m
11/12,US Palermo,25.0,€119.05m,€2.59m
14/15,UC Sampdoria,26.1,€132.23m,€3.23m
14/15,Genoa CFC,25.6,€117.33m,€2.44m
14/15,Udinese Calcio,24.4,€107.18m,€2.14m
14/15,US Palermo,25.3,€92.60m,€2.32m
14/15,US Sassuolo,26.8,€91.03m,€2.22m
14/15,Atalanta BC,27.3,€83.48m,€1.99m
14/15,Torino FC,26.5,€82.58m,€1.84m
14/15,Cagliari Calcio,24.9,€74.20m,€2.06m
14/15,Parma FC,25.6,€65.95m,€1.20m
14/15,Chievo Verona,28.0,€61.85m,€1.55m
14/15,FC Empoli,24.3,€54.03m,€1.35m
14/15,Hellas Verona,26.9,€41.80m,€1.10m
14/15,AC Cesena,26.5,€34.15m,€923k
11/12,SS Lazio,25.7,€113.63m,€2.19m
11/12,Genoa CFC,26.2,€104.30m,€2.67m
11/12,Parma FC,25.7,€82.35m,€1.92m
11/12,Cagliari Calcio,25.2,€71.65m,€2.17m
11/12,Atalanta BC,27.8,€67.58m,€1.88m
11/12,Bologna FC 1909,25.3,€63.90m,€1.56m
11/12,Calcio Catania,26.9,€59.25m,€1.52m
11/12,Chievo Verona,26.6,€44.80m,€1.12m
11/12,AC Siena,27.3,€39.33m,€1.06m
11/12,AC Cesena,25.7,€39.03m,€867k
11/12,US Lecce,26.1,€38.43m,€894k
11/12,Novara Calcio 1908,27.3,€28.43m,€748k
16/17,Juventus FC,26.6,€497.18m,€13.08m
16/17,SSC Napoli,26.2,€387.30m,€10.47m
16/17,AS Roma,24.2,€354.68m,€7.55m
16/17,Inter Milan,25.9,€328.30m,€8.01m
16/17,AC Milan,25.3,€254.33m,€6.06m
16/17,SS Lazio,24.2,€226.45m,€4.92m
16/17,ACF Fiorentina,24.8,€217.08m,€5.17m
16/17,Torino FC,24.7,€162.35m,€3.18m
16/17,Atalanta BC,25.9,€161.70m,€3.68m
16/17,US Sassuolo,25.0,€145.25m,€3.03m
16/17,UC Sampdoria,25.3,€117.58m,€2.80m
16/17,Genoa CFC,26.3,€108.18m,€2.46m
16/17,Udinese Calcio,25.0,€101.95m,€2.32m
16/17,Bologna FC 1909,25.2,€95.00m,€1.98m
16/17,Cagliari Calcio,25.2,€61.08m,€1.33m
16/17,FC Empoli,25.0,€55.45m,€1.32m
16/17,Delfino Pescara 1936,25.2,€48.10m,€962k
16/17,Chievo Verona,26.8,€45.88m,€1.04m
16/17,US Palermo,24.8,€41.10m,€1.05m
16/17,FC Crotone,25.5,€36.70m,€992k
09/10,Inter Milan,25.4,€396.50m,€8.44m
09/10,Juventus FC,26.0,€273.10m,€6.21m
09/10,AC Milan,27.3,€256.45m,€6.25m
09/10,AS Roma,25.8,€245.15m,€5.45m
09/10,ACF Fiorentina,24.5,€209.30m,€4.55m
09/10,SSC Napoli,27.1,€145.63m,€4.28m
09/10,SS Lazio,25.2,€141.10m,€2.28m
09/10,Genoa CFC,24.6,€135.85m,€2.89m
09/10,Udinese Calcio,23.9,€135.58m,€2.77m
09/10,US Palermo,24.7,€119.95m,€2.93m
09/10,UC Sampdoria,25.6,€112.70m,€3.05m
09/10,Parma FC,25.0,€82.83m,€1.62m
09/10,Cagliari Calcio,24.7,€71.80m,€2.05m
09/10,AS Bari,27.0,€69.80m,€1.62m
09/10,Calcio Catania,26.0,€63.05m,€1.75m
09/10,Atalanta BC,26.6,€62.05m,€1.59m
09/10,Bologna FC 1909,28.1,€53.10m,€1.40m
09/10,AS Livorno,26.1,€46.80m,€1.17m
09/10,AC Siena,25.7,€45.83m,€1.15m
09/10,Chievo Verona,27.2,€41.28m,€1.06m
06/07,AC Milan,27.5,€274.35m,€6.38m
06/07,Inter Milan,24.4,€267.23m,€4.61m
06/07,AS Roma,25.2,€220.65m,€5.52m
06/07,ACF Fiorentina,24.6,€159.60m,€4.20m
06/07,US Palermo,24.4,€127.28m,€2.50m
06/07,SS Lazio,27.2,€105.35m,€3.10m
06/07,Udinese Calcio,22.5,€104.58m,€2.01m
06/07,Chievo Verona,25.4,€83.50m,€1.55m
06/07,UC Sampdoria,24.9,€69.45m,€1.65m
06/07,AS Livorno,28.4,€68.33m,€2.01m
06/07,Torino FC,29.4,€55.55m,€1.50m
06/07,Atalanta BC,26.0,€53.48m,€1.34m
06/07,Reggina Calcio,24.5,€50.10m,€1.14m
06/07,Parma FC,24.5,€46.90m,€1.20m
06/07,AC Siena,26.6,€46.08m,€1.18m
06/07,Cagliari Calcio,25.2,€45.15m,€1.25m
06/07,FC Empoli,24.6,€44.30m,€1.23m
06/07,FC Messina Peloro,27.0,€40.58m,€882k
06/07,Calcio Catania,27.7,€38.60m,€1.07m
06/07,Ascoli Calcio 1898,26.4,€25.80m,€549k
08/09,Inter Milan,28.5,€327.90m,€10.25m
08/09,AC Milan,28.1,€319.40m,€9.13m
08/09,AS Roma,26.3,€266.80m,€6.67m
08/09,Juventus FC,27.1,€256.85m,€7.55m
08/09,ACF Fiorentina,25.5,€197.10m,€5.19m
08/09,Udinese Calcio,24.1,€124.65m,€3.37m
08/09,SS Lazio,25.9,€109.65m,€2.96m
08/09,US Palermo,24.4,€106.35m,€2.26m
08/09,SSC Napoli,27.4,€101.50m,€3.27m
08/09,UC Sampdoria,24.0,€94.30m,€2.01m
08/09,Genoa CFC,23.6,€91.70m,€1.95m
08/09,Torino FC,27.7,€64.90m,€1.85m
08/09,Atalanta BC,25.4,€64.20m,€1.78m
08/09,Calcio Catania,26.8,€49.90m,€1.35m
08/09,US Lecce,25.5,€45.78m,€1.06m
08/09,Cagliari Calcio,24.6,€45.68m,€1.27m
08/09,AC Siena,25.6,€45.30m,€1.13m
08/09,Bologna FC 1909,28.8,€40.30m,€1.19m
08/09,Chievo Verona,27.5,€38.25m,€1.01m
08/09,Reggina Calcio,24.7,€35.85m,€854k
10/11,Inter Milan,26.2,€346.95m,€7.89m
10/11,AC Milan,27.7,€288.08m,€6.40m
10/11,Juventus FC,25.9,€258.93m,€5.08m
10/11,ACF Fiorentina,24.9,€175.48m,€4.18m
10/11,AS Roma,26.7,€172.98m,€4.02m
10/11,SSC Napoli,28.3,€170.43m,€5.50m
10/11,Genoa CFC,25.2,€168.18m,€3.74m
10/11,Udinese Calcio,24.6,€137.05m,€3.43m
10/11,UC Sampdoria,24.6,€125.05m,€2.72m
10/11,US Palermo,24.1,€123.03m,€2.73m
10/11,SS Lazio,27.0,€111.73m,€2.54m
10/11,Parma FC,25.6,€86.05m,€2.00m
10/11,Cagliari Calcio,27.7,€85.03m,€2.30m
10/11,AC Cesena,26.5,€64.23m,€1.43m
10/11,Bologna FC 1909,25.0,€63.05m,€1.66m
10/11,Calcio Catania,26.7,€60.68m,€1.73m
10/11,AS Bari,25.7,€51.50m,€1.12m
10/11,Chievo Verona,27.0,€48.95m,€1.14m
10/11,Brescia Calcio,26.2,€36.75m,€855k
10/11,US Lecce,25.5,€32.70m,€884k
07/08,Inter Milan,26.0,€310.00m,€6.46m
07/08,AC Milan,27.6,€279.40m,€6.81m
07/08,AS Roma,26.3,€244.40m,€6.61m
07/08,Juventus FC,25.8,€236.85m,€6.23m
07/08,ACF Fiorentina,23.8,€171.35m,€3.73m
07/08,Udinese Calcio,23.2,€115.05m,€2.35m
07/08,SS Lazio,26.5,€110.80m,€2.77m
07/08,US Palermo,24.2,€104.80m,€2.44m
07/08,SSC Napoli,27.2,€76.95m,€2.57m
07/08,UC Sampdoria,24.8,€75.70m,€1.85m
07/08,Genoa CFC,25.3,€63.25m,€1.41m
07/08,Torino FC,25.8,€60.05m,€1.50m
07/08,Calcio Catania,27.4,€58.40m,€1.46m
07/08,Atalanta BC,26.0,€54.80m,€1.44m
07/08,Parma FC,25.9,€52.50m,€1.28m
07/08,FC Empoli,24.7,€49.50m,€1.30m
07/08,AS Livorno,27.3,€48.35m,€1.34m
07/08,Reggina Calcio,23.7,€44.23m,€983k
07/08,AC Siena,26.4,€42.80m,€1.02m
07/08,Cagliari Calcio,25.0,€41.20m,€981k
05/06,Juventus FC,27.1,€308.90m,€8.58m
05/06,AC Milan,27.9,€269.75m,€7.49m
05/06,Inter Milan,25.4,€234.93m,€4.52m
05/06,AS Roma,24.4,€193.20m,€4.60m
05/06,ACF Fiorentina,26.4,€138.68m,€3.23m
05/06,US Palermo,25.3,€94.20m,€2.19m
05/06,Udinese Calcio,24.9,€89.60m,€1.99m
05/06,SS Lazio,25.8,€83.05m,€1.66m
05/06,UC Sampdoria,26.0,€61.50m,€1.58m
05/06,Parma FC,24.8,€57.05m,€1.43m
05/06,AS Livorno,27.0,€56.38m,€1.61m
05/06,US Lecce,24.0,€52.15m,€1.24m
05/06,Chievo Verona,26.3,€49.55m,€1.46m
05/06,Reggina Calcio,25.2,€43.65m,€1.06m
05/06,FC Messina Peloro,26.1,€39.98m,€952k
05/06,FC Empoli,26.5,€37.00m,€1.19m
05/06,Cagliari Calcio,25.4,€35.65m,€1.15m
05/06,AC Siena,28.1,€34.98m,€1.06m
05/06,Ascoli Calcio 1898,25.8,€24.55m,€511k
05/06,Treviso FBC 1993,25.5,€23.53m,€461k
12/13,Juventus FC,26.8,€337.90m,€8.45m
12/13,Inter Milan,24.8,€242.80m,€4.41m
12/13,AC Milan,26.0,€238.53m,€5.68m
12/13,SSC Napoli,26.7,€237.25m,€5.79m
12/13,ACF Fiorentina,25.7,€213.65m,€5.09m
12/13,AS Roma,25.0,€173.40m,€4.69m
12/13,SS Lazio,25.4,€143.28m,€2.61m
12/13,Udinese Calcio,23.8,€121.00m,€2.52m
12/13,Genoa CFC,26.9,€98.50m,€2.14m
12/13,UC Sampdoria,25.7,€85.93m,€2.32m
12/13,Parma FC,26.1,€85.78m,€2.04m
12/13,US Palermo,25.7,€80.95m,€1.56m
12/13,Bologna FC 1909,25.0,€78.55m,€1.60m
12/13,Calcio Catania,26.0,€76.48m,€2.01m
12/13,Cagliari Calcio,24.5,€76.38m,€2.25m
12/13,Atalanta BC,28.1,€74.10m,€1.72m
12/13,Torino FC,26.3,€61.60m,€1.62m
12/13,Chievo Verona,27.3,€55.10m,€1.20m
12/13,Delfino Pescara 1936,25.0,€47.80m,€919k
12/13,AC Siena,27.7,€47.48m,€989k
