season,club,foreigners,squad_total_val,player_mean_value
19/20,Norwich City,26.0,€145.33m,€3.82m
19/20,Sheffield United,27.9,€138.60m,€4.08m
20/21,Manchester City,25.3,€1.04bn,€29.01m
20/21,Liverpool FC,24.9,€969.65m,€22.55m
20/21,Chelsea FC,25.7,€889.20m,€22.80m
20/21,Manchester United,25.4,€770.05m,€19.74m
20/21,Tottenham Hotspur,25.2,€703.50m,€17.16m
20/21,Arsenal FC,24.9,€619.25m,€14.74m
20/21,Everton FC,25.2,€511.20m,€11.62m
20/21,Leicester City,25.8,€510.60m,€12.77m
20/21,Wolverhampton Wanderers,24.4,€450.30m,€11.85m
20/21,Aston Villa,23.9,€430.70m,€8.13m
20/21,West Ham United,27.0,€334.90m,€8.59m
20/21,Brighton & Hove Albion,24.9,€290.40m,€6.31m
20/21,Southampton FC,25.0,€282.80m,€7.25m
20/21,Newcastle United,27.4,€255.35m,€7.74m
20/21,Fulham FC,27.0,€239.75m,€6.31m
20/21,Leeds United,25.1,€238.10m,€6.11m
20/21,Crystal Palace,28.2,€193.85m,€5.38m
20/21,Sheffield United,25.4,€149.85m,€3.75m
20/21,West Bromwich Albion,26.6,€141.15m,€3.28m
20/21,Burnley FC,27.1,€132.30m,€4.13m
18/19,Manchester City,24.6,€1.20bn,€25.61m
18/19,Liverpool FC,25.2,€1.17bn,€30.06m
18/19,Chelsea FC,26.2,€1.17bn,€21.60m
18/19,Tottenham Hotspur,26.0,€898.60m,€26.43m
18/19,Manchester United,25.9,€797.60m,€22.16m
18/19,Arsenal FC,25.4,€659.05m,€15.69m
18/19,Everton FC,26.6,€529.10m,€13.23m
18/19,Leicester City,26.9,€434.10m,€11.73m
18/19,West Ham United,27.1,€359.00m,€9.70m
18/19,AFC Bournemouth,26.2,€310.00m,€8.38m
18/19,Southampton FC,25.5,€305.40m,€7.64m
18/19,Wolverhampton Wanderers,24.5,€302.90m,€7.57m
18/19,Crystal Palace,26.9,€289.00m,€8.03m
18/19,Fulham FC,26.2,€254.25m,€7.70m
18/19,Newcastle United,26.6,€244.65m,€6.61m
18/19,Watford FC,26.7,€239.10m,€6.13m
18/19,Burnley FC,28.6,€197.25m,€5.98m
18/19,Brighton & Hove Albion,26.3,€194.35m,€4.74m
18/19,Huddersfield Town,25.8,€137.45m,€4.17m
18/19,Cardiff City,27.8,€113.00m,€3.23m
21/22,Manchester City,24.7,€1.00bn,€25.74m
21/22,Liverpool FC,24.5,€918.90m,€18.75m
21/22,Chelsea FC,25.6,€914.50m,€20.78m
21/22,Manchester United,26.0,€769.15m,€17.89m
21/22,Tottenham Hotspur,24.0,€689.35m,€15.32m
21/22,Arsenal FC,24.0,€613.05m,€14.95m
25/26,Arsenal FC,25.8,€1.31bn,€52.56m
25/26,Manchester City,26.4,€1.21bn,€46.64m
25/26,Liverpool FC,25.8,€1.15bn,€44.39m
25/26,Chelsea FC,23.6,€1.14bn,€36.66m
25/26,Tottenham Hotspur,25.4,€920.60m,€31.74m
21/22,Leicester City,25.7,€526.55m,€13.16m
21/22,Aston Villa,24.8,€487.75m,€11.09m
21/22,Everton FC,26.0,€479.05m,€11.41m
21/22,Wolverhampton Wanderers,24.8,€376.95m,€9.92m
21/22,West Ham United,26.3,€354.90m,€9.59m
21/22,Brighton & Hove Albion,24.6,€318.00m,€7.40m
21/22,Newcastle United,27.9,€313.90m,€9.23m
21/22,Leeds United,24.0,€299.45m,€8.56m
21/22,Southampton FC,25.6,€274.30m,€8.31m
21/22,Brentford FC,24.7,€273.30m,€7.19m
21/22,Crystal Palace,26.5,€271.05m,€8.21m
21/22,Norwich City,24.7,€163.20m,€3.63m
21/22,Watford FC,26.4,€156.20m,€3.32m
21/22,Burnley FC,27.9,€137.85m,€3.94m
25/26,Newcastle United,27.5,€751.83m,€25.93m
25/26,Manchester United,25.7,€730.20m,€28.08m
25/26,Nottingham Forest,26.4,€644.70m,€23.03m
25/26,Aston Villa,27.9,€546.00m,€23.74m
25/26,Brighton & Hove Albion,26.2,€520.60m,€20.02m
25/26,Crystal Palace,25.5,€484.53m,€16.15m
25/26,AFC Bournemouth,25.1,€448.10m,€17.92m
25/26,Brentford FC,24.9,€434.90m,€14.03m
25/26,Everton FC,26.8,€414.60m,€17.28m
25/26,West Ham United,27.0,€400.80m,€15.42m
25/26,Wolverhampton Wanderers,26.3,€376.60m,€14.48m
25/26,Fulham FC,28.1,€374.00m,€15.58m
25/26,Sunderland AFC,25.0,€340.00m,€9.44m
25/26,Leeds United,27.1,€316.30m,€12.17m
25/26,Burnley FC,26.7,€247.15m,€7.72m
24/25,Manchester City,25.6,€1.36bn,€30.86m
24/25,Chelsea FC,22.4,€1.19bn,€20.59m
24/25,Arsenal FC,24.5,€1.16bn,€27.58m
24/25,Liverpool FC,24.7,€950.95m,€27.17m
24/25,Manchester United,24.0,€825.00m,€16.84m
24/25,Tottenham Hotspur,24.0,€777.30m,€18.96m
24/25,Aston Villa,25.2,€680.55m,€16.60m
24/25,Newcastle United,27.5,€677.53m,€18.82m
24/25,Brighton & Hove Albion,24.2,€667.58m,€13.62m
24/25,Crystal Palace,26.2,€526.85m,€13.17m
24/25,AFC Bournemouth,24.7,€518.60m,€13.30m
24/25,Nottingham Forest,26.8,€481.30m,€14.58m
24/25,Wolverhampton Wanderers,25.3,€433.05m,€9.84m
24/25,Brentford FC,24.4,€427.85m,€11.26m
24/25,West Ham United,28.0,€400.70m,€13.82m
24/25,Everton FC,25.8,€363.23m,€9.31m
24/25,Fulham FC,27.7,€362.35m,€12.94m
24/25,Southampton FC,25.3,€310.05m,€7.38m
24/25,Ipswich Town,26.6,€270.10m,€7.72m
24/25,Leicester City,25.3,€253.35m,€6.33m
16/17,Chelsea FC,25.4,€686.70m,€14.01m
16/17,Manchester City,26.9,€576.50m,€16.47m
16/17,Tottenham Hotspur,24.1,€543.65m,€14.31m
16/17,Arsenal FC,25.3,€542.00m,€12.90m
16/17,Manchester United,25.0,€531.45m,€12.65m
16/17,Liverpool FC,24.9,€425.65m,€11.20m
16/17,Everton FC,26.4,€311.25m,€7.98m
16/17,West Ham United,25.1,€273.05m,€6.21m
16/17,Southampton FC,25.9,€263.75m,€7.33m
16/17,Crystal Palace,26.6,€228.43m,€5.08m
16/17,Leicester City,27.1,€218.65m,€7.05m
16/17,Stoke City,27.7,€186.00m,€5.47m
16/17,Watford FC,27.3,€175.65m,€3.82m
16/17,Swansea City,27.4,€157.10m,€4.25m
16/17,Hull City,26.5,€135.85m,€3.23m
16/17,Sunderland AFC,25.8,€132.00m,€3.14m
16/17,AFC Bournemouth,24.8,€131.60m,€3.21m
16/17,Middlesbrough FC,27.9,€128.80m,€3.68m
16/17,West Bromwich Albion,27.7,€123.20m,€4.11m
16/17,Burnley FC,27.2,€107.18m,€2.98m
17/18,Manchester City,25.5,€1.01bn,€31.53m
17/18,Chelsea FC,25.3,€884.25m,€19.22m
17/18,Liverpool FC,25.4,€857.50m,€24.50m
17/18,Manchester United,26.6,€849.50m,€24.27m
17/18,Tottenham Hotspur,25.2,€829.60m,€24.40m
17/18,Arsenal FC,25.4,€694.00m,€15.42m
17/18,Everton FC,25.4,€381.25m,€7.94m
17/18,Leicester City,27.0,€304.25m,€8.95m
17/18,Southampton FC,26.4,€297.00m,€10.24m
17/18,West Ham United,25.7,€260.60m,€6.36m
17/18,Crystal Palace,26.3,€220.73m,€5.38m
17/18,Newcastle United,25.9,€208.28m,€5.63m
17/18,Watford FC,27.4,€196.00m,€5.30m
17/18,Stoke City,26.8,€192.45m,€5.50m
17/18,Burnley FC,28.3,€169.30m,€5.64m
17/18,West Bromwich Albion,27.0,€165.95m,€5.03m
17/18,Swansea City,26.8,€165.49m,€4.60m
17/18,Brighton & Hove Albion,27.3,€148.20m,€3.80m
17/18,AFC Bournemouth,26.4,€144.50m,€4.13m
17/18,Huddersfield Town,26.1,€106.05m,€3.03m
14/15,Chelsea FC,25.4,€557.25m,€14.66m
14/15,Manchester United,25.4,€505.40m,€11.75m
14/15,Manchester City,27.1,€448.25m,€13.18m
14/15,Arsenal FC,24.5,€414.75m,€9.88m
14/15,Liverpool FC,24.8,€324.85m,€9.28m
14/15,Tottenham Hotspur,25.2,€304.15m,€7.24m
14/15,Southampton FC,25.1,€210.25m,€5.68m
14/15,Everton FC,25.7,€182.85m,€4.57m
14/15,Newcastle United,24.4,€140.00m,€3.33m
14/15,West Ham United,26.2,€135.90m,€3.78m
14/15,Swansea City,25.8,€130.75m,€3.63m
14/15,Hull City,27.5,€117.10m,€3.35m
14/15,Aston Villa,25.9,€114.25m,€3.01m
14/15,Queens Park Rangers,26.6,€112.25m,€2.74m
14/15,Stoke City,28.0,€110.50m,€3.68m
14/15,Crystal Palace,27.6,€97.25m,€2.32m
14/15,West Bromwich Albion,27.0,€95.95m,€2.82m
14/15,Sunderland AFC,26.3,€91.00m,€2.68m
14/15,Leicester City,27.4,€66.70m,€1.80m
14/15,Burnley FC,27.0,€52.55m,€1.75m
15/16,Chelsea FC,25.2,€553.50m,€13.84m
15/16,Manchester City,25.9,€499.35m,€13.14m
15/16,Arsenal FC,25.2,€457.85m,€11.17m
15/16,Manchester United,24.1,€439.85m,€10.00m
15/16,Liverpool FC,23.9,€375.25m,€8.53m
15/16,Tottenham Hotspur,24.2,€371.85m,€12.00m
15/16,Everton FC,26.1,€249.85m,€6.41m
15/16,Southampton FC,25.6,€225.50m,€6.44m
15/16,West Ham United,24.7,€201.33m,€4.03m
15/16,Newcastle United,25.2,€198.00m,€4.71m
15/16,Leicester City,27.3,€161.10m,€4.60m
15/16,Stoke City,27.9,€147.00m,€4.74m
15/16,Swansea City,26.4,€145.80m,€4.05m
15/16,Watford FC,27.8,€137.00m,€3.51m
15/16,Crystal Palace,27.2,€135.70m,€3.57m
15/16,Aston Villa,25.1,€117.95m,€2.68m
15/16,Norwich City,27.0,€116.90m,€2.85m
15/16,West Bromwich Albion,26.9,€113.10m,€3.23m
15/16,Sunderland AFC,27.0,€111.25m,€2.65m
15/16,AFC Bournemouth,25.6,€99.90m,€2.04m
13/14,Chelsea FC,25.2,€584.20m,€11.92m
13/14,Manchester City,27.3,€455.80m,€16.88m
13/14,Manchester United,26.1,€402.55m,€10.88m
13/14,Arsenal FC,25.0,€385.75m,€9.41m
13/14,Liverpool FC,24.6,€315.75m,€8.77m
13/14,Tottenham Hotspur,24.4,€288.95m,€7.05m
13/14,Everton FC,26.5,€210.00m,€6.18m
13/14,Newcastle United,25.3,€172.30m,€4.66m
13/14,Southampton FC,24.7,€131.50m,€3.76m
13/14,Swansea City,26.1,€128.93m,€3.58m
13/14,Sunderland AFC,26.0,€122.00m,€3.13m
13/14,Fulham FC,26.4,€112.65m,€2.35m
13/14,West Ham United,26.3,€109.50m,€2.43m
13/14,Aston Villa,25.2,€109.50m,€3.04m
13/14,Stoke City,27.1,€104.70m,€3.17m
13/14,West Bromwich Albion,27.7,€90.80m,€2.75m
13/14,Norwich City,27.0,€89.30m,€2.79m
13/14,Cardiff City,25.9,€87.90m,€2.09m
13/14,Crystal Palace,27.2,€68.70m,€1.53m
13/14,Hull City,27.7,€68.15m,€2.00m
10/11,Chelsea FC,25.9,€424.10m,€12.85m
10/11,Manchester City,24.9,€404.18m,€8.98m
10/11,Manchester United,25.7,€388.00m,€9.02m
10/11,Liverpool FC,24.9,€339.20m,€8.08m
10/11,Arsenal FC,24.8,€324.00m,€9.53m
10/11,Tottenham Hotspur,26.3,€307.08m,€8.08m
10/11,Aston Villa,26.7,€202.80m,€5.20m
10/11,Everton FC,25.4,€184.48m,€5.76m
10/11,Sunderland AFC,25.2,€149.33m,€3.83m
10/11,West Ham United,26.4,€138.75m,€3.47m
10/11,Newcastle United,25.2,€119.48m,€3.14m
10/11,Fulham FC,28.9,€109.55m,€3.22m
10/11,Bolton Wanderers,26.9,€100.15m,€2.95m
10/11,Birmingham City,27.3,€95.38m,€2.81m
10/11,Stoke City,28.5,€94.45m,€2.86m
10/11,Blackburn Rovers,26.6,€91.53m,€2.47m
10/11,West Bromwich Albion,25.8,€86.88m,€2.35m
10/11,Wolverhampton Wanderers,25.2,€83.55m,€1.99m
10/11,Wigan Athletic,25.5,€80.50m,€2.30m
10/11,Blackpool FC,25.7,€50.03m,€1.11m
07/08,Chelsea FC,25.7,€434.35m,€11.14m
07/08,Manchester United,25.2,€354.55m,€9.33m
07/08,Liverpool FC,24.0,€305.65m,€7.45m
07/08,Arsenal FC,23.3,€262.40m,€7.50m
07/08,Tottenham Hotspur,24.9,€220.50m,€5.80m
07/08,Everton FC,25.8,€155.30m,€4.85m
07/08,Manchester City,24.9,€150.10m,€4.17m
07/08,Portsmouth FC,27.0,€141.30m,€4.28m
07/08,Newcastle United,26.2,€135.20m,€4.10m
07/08,Middlesbrough FC,25.0,€120.90m,€3.56m
07/08,West Ham United,26.7,€120.00m,€3.33m
07/08,Aston Villa,25.7,€112.10m,€4.48m
07/08,Bolton Wanderers,26.3,€104.20m,€2.48m
07/08,Fulham FC,28.2,€99.05m,€2.30m
07/08,Blackburn Rovers,26.1,€90.85m,€2.39m
07/08,Sunderland AFC,25.4,€83.60m,€1.82m
07/08,Birmingham City,25.2,€82.50m,€2.50m
07/08,Wigan Athletic,27.3,€77.75m,€2.22m
07/08,Reading FC,25.4,€65.93m,€1.53m
07/08,Derby County,27.3,€50.40m,€1.23m
08/09,Chelsea FC,26.9,€448.55m,€13.59m
08/09,Manchester United,24.4,€425.95m,€10.14m
08/09,Liverpool FC,25.3,€342.85m,€10.39m
08/09,Arsenal FC,22.6,€311.45m,€7.60m
08/09,Tottenham Hotspur,24.3,€278.80m,€6.48m
08/09,Manchester City,25.1,€258.35m,€6.62m
08/09,Everton FC,25.3,€190.33m,€5.95m
08/09,Aston Villa,25.3,€157.35m,€4.50m
08/09,Portsmouth FC,28.2,€152.60m,€4.24m
08/09,Newcastle United,25.2,€134.55m,€3.54m
08/09,West Ham United,25.8,€133.90m,€3.35m
08/09,Sunderland AFC,26.0,€110.30m,€2.51m
08/09,Wigan Athletic,27.0,€103.75m,€2.96m
08/09,Blackburn Rovers,26.7,€91.20m,€2.53m
08/09,Middlesbrough FC,23.8,€85.45m,€2.59m
08/09,Fulham FC,26.8,€83.85m,€2.21m
08/09,Bolton Wanderers,26.4,€81.65m,€2.47m
08/09,West Bromwich Albion,25.4,€66.10m,€1.89m
08/09,Hull City,28.5,€64.70m,€1.85m
08/09,Stoke City,27.4,€63.45m,€1.67m
12/13,Manchester City,25.3,€502.10m,€12.25m
12/13,Manchester United,25.3,€457.50m,€11.16m
12/13,Chelsea FC,26.4,€454.25m,€13.36m
12/13,Arsenal FC,24.4,€296.90m,€7.07m
12/13,Tottenham Hotspur,26.0,€296.80m,€7.24m
12/13,Liverpool FC,24.0,€276.10m,€6.73m
12/13,Newcastle United,25.1,€200.25m,€5.13m
12/13,Everton FC,26.2,€139.75m,€4.82m
12/13,Sunderland AFC,25.8,€133.90m,€3.62m
12/13,Queens Park Rangers,29.2,€120.05m,€3.16m
12/13,Aston Villa,25.2,€110.50m,€3.35m
12/13,Fulham FC,28.0,€109.85m,€2.97m
12/13,Stoke City,28.9,€104.05m,€3.47m
12/13,West Ham United,25.9,€103.00m,€2.64m
12/13,Swansea City,26.7,€102.25m,€3.10m
12/13,West Bromwich Albion,26.6,€93.50m,€2.92m
12/13,Wigan Athletic,26.2,€91.55m,€2.47m
12/13,Southampton FC,25.3,€83.05m,€2.08m
12/13,Norwich City,26.4,€73.25m,€2.03m
12/13,Reading FC,26.9,€46.25m,€1.32m
22/23,Manchester City,26.0,€1.15bn,€33.70m
22/23,Arsenal FC,24.0,€1.00bn,€23.83m
22/23,Chelsea FC,25.2,€994.95m,€23.14m
22/23,Manchester United,25.4,€847.75m,€17.66m
22/23,Liverpool FC,25.6,€811.85m,€20.82m
22/23,Tottenham Hotspur,25.9,€649.10m,€19.09m
22/23,Newcastle United,28.3,€541.60m,€14.25m
22/23,Brighton & Hove Albion,24.1,€529.80m,€12.61m
22/23,Aston Villa,25.4,€509.55m,€11.85m
22/23,Wolverhampton Wanderers,25.8,€497.65m,€11.57m
22/23,Leicester City,26.4,€490.70m,€12.91m
22/23,West Ham United,25.4,€465.60m,€10.58m
22/23,Southampton FC,24.8,€419.95m,€9.13m
22/23,Everton FC,26.9,€413.15m,€10.33m
22/23,Nottingham Forest,26.6,€376.25m,€7.53m
22/23,Brentford FC,25.3,€371.20m,€10.31m
22/23,Leeds United,24.0,€345.15m,€7.34m
22/23,Crystal Palace,25.4,€323.05m,€8.28m
22/23,Fulham FC,25.9,€295.10m,€6.28m
22/23,AFC Bournemouth,25.0,€287.20m,€6.11m
06/07,Chelsea FC,24.8,€416.76m,€11.26m
06/07,Arsenal FC,23.9,€278.18m,€7.32m
06/07,Manchester United,25.0,€259.15m,€6.82m
06/07,Liverpool FC,24.7,€239.77m,€6.31m
06/07,Tottenham Hotspur,24.6,€165.73m,€4.36m
06/07,Newcastle United,25.7,€146.55m,€4.19m
06/07,Aston Villa,26.6,€109.50m,€3.22m
06/07,Everton FC,26.9,€109.45m,€3.77m
06/07,West Ham United,26.4,€105.45m,€3.01m
06/07,Portsmouth FC,27.6,€97.08m,€3.03m
06/07,Middlesbrough FC,25.0,€96.32m,€2.75m
06/07,Manchester City,25.9,€89.25m,€2.63m
06/07,Fulham FC,27.7,€84.68m,€2.29m
06/07,Blackburn Rovers,27.9,€78.90m,€2.55m
06/07,Wigan Athletic,27.6,€74.93m,€2.03m
06/07,Bolton Wanderers,26.1,€72.38m,€2.13m
06/07,Charlton Athletic,26.3,€71.47m,€1.93m
06/07,Sheffield United,26.9,€43.36m,€1.01m
06/07,Watford FC,24.4,€32.97m,€767k
06/07,Reading FC,24.9,€32.88m,€865k
11/12,Manchester City,25.9,€498.60m,€13.85m
11/12,Manchester United,25.1,€404.10m,€9.86m
11/12,Chelsea FC,27.1,€375.50m,€11.73m
11/12,Arsenal FC,24.7,€362.43m,€8.05m
11/12,Tottenham Hotspur,25.7,€323.50m,€6.47m
11/12,Liverpool FC,26.1,€236.90m,€7.64m
11/12,Everton FC,26.8,€169.95m,€4.72m
11/12,Newcastle United,25.3,€161.70m,€4.37m
11/12,Sunderland AFC,25.9,€126.50m,€3.51m
11/12,Aston Villa,26.2,€123.50m,€3.34m
11/12,Fulham FC,27.6,€100.00m,€2.78m
11/12,Bolton Wanderers,26.4,€90.05m,€2.37m
11/12,Stoke City,29.1,€81.65m,€2.55m
11/12,Queens Park Rangers,28.2,€81.38m,€1.70m
11/12,Blackburn Rovers,25.9,€80.00m,€2.16m
11/12,Wolverhampton Wanderers,25.6,€78.05m,€2.11m
11/12,Swansea City,26.0,€75.60m,€2.22m
11/12,Wigan Athletic,26.7,€74.25m,€2.48m
11/12,West Bromwich Albion,26.5,€69.55m,€1.93m
11/12,Norwich City,26.0,€58.75m,€2.03m
09/10,Chelsea FC,26.4,€451.95m,€12.55m
09/10,Manchester United,25.5,€384.88m,€9.62m
09/10,Liverpool FC,25.2,€331.55m,€9.75m
09/10,Arsenal FC,23.2,€314.30m,€6.98m
09/10,Manchester City,25.6,€312.50m,€7.81m
09/10,Tottenham Hotspur,24.9,€263.53m,€6.43m
09/10,Everton FC,24.6,€218.93m,€5.21m
09/10,Aston Villa,27.1,€167.38m,€5.40m
09/10,Sunderland AFC,26.1,€131.58m,€3.46m
09/10,West Ham United,25.3,€121.75m,€3.48m
09/10,Fulham FC,27.0,€101.18m,€2.47m
09/10,Portsmouth FC,27.0,€96.65m,€2.15m
09/10,Blackburn Rovers,26.8,€91.63m,€2.62m
09/10,Bolton Wanderers,26.9,€85.80m,€2.68m
09/10,Stoke City,27.0,€80.70m,€2.07m
09/10,Wigan Athletic,26.6,€77.60m,€2.16m
09/10,Hull City,27.6,€73.20m,€1.98m
09/10,Birmingham City,27.1,€69.65m,€1.93m
09/10,Wolverhampton Wanderers,25.7,€65.48m,€1.77m
09/10,Burnley FC,26.5,€48.15m,€1.46m
05/06,Chelsea FC,25.3,€363.43m,€12.11m
05/06,Manchester United,25.4,€254.58m,€7.49m
05/06,Arsenal FC,24.1,€232.33m,€6.28m
05/06,Liverpool FC,24.9,€216.35m,€5.85m
05/06,Tottenham Hotspur,26.3,€154.33m,€4.82m
05/06,Newcastle United,26.5,€150.48m,€4.70m
05/06,Middlesbrough FC,25.8,€94.38m,€2.42m
05/06,Everton FC,27.4,€92.92m,€3.00m
05/06,Manchester City,26.3,€91.90m,€2.87m
05/06,Aston Villa,25.6,€89.60m,€2.89m
05/06,Portsmouth FC,27.5,€86.13m,€2.39m
05/06,Charlton Athletic,26.6,€82.43m,€2.29m
05/06,Birmingham City,26.7,€81.83m,€2.34m
05/06,Fulham FC,27.7,€70.88m,€2.15m
05/06,West Bromwich Albion,26.6,€65.55m,€2.05m
05/06,Blackburn Rovers,28.2,€63.85m,€2.28m
05/06,West Ham United,25.7,€62.55m,€1.90m
05/06,Bolton Wanderers,26.8,€61.85m,€1.93m
05/06,Wigan Athletic,28.3,€51.92m,€1.73m
05/06,Sunderland AFC,25.2,€34.35m,€1.11m
